,When,Discharge,v_a,Maximum Wind Speed,Wind Direction,T_a,RH,p_a,Fountain
0,2019-01-30 17:00:00,0.0,0.5,1.3,174.0,-7.9,84.3,888.8,0
1,2019-01-30 17:05:00,0.0,0.6,1.4,189.0,-8.1,84.8,888.8,0
2,2019-01-30 17:10:00,0.0,0.5,1.2,164.0,-8.3,85.0,888.8,0
3,2019-01-30 17:15:00,0.0,0.3,0.8,199.0,-8.5,84.4,889.0,0
4,2019-01-30 17:20:00,0.0,0.4,1.2,187.0,-8.6,85.8,889.1,0
5,2019-01-30 17:25:00,0.0,0.4,1.1,148.0,-8.8,84.9,889.0,0
6,2019-01-30 17:30:00,0.0,0.6,1.1,172.0,-9.0,83.4,889.0,0
7,2019-01-30 17:35:00,0.0,0.6,1.4,196.0,-9.0,86.7,889.0,0
8,2019-01-30 17:40:00,0.0,0.6,1.3,157.0,-9.3,84.3,889.0,0
9,2019-01-30 17:45:00,0.0,0.5,1.1,155.0,-9.5,85.8,889.0,0
10,2019-01-30 17:50:00,0.0,0.4,1.2,186.0,-9.6,84.4,889.1,0
11,2019-01-30 17:55:00,0.0,0.5,1.1,192.0,-9.7,86.9,889.0,0
12,2019-01-30 18:00:00,0.0,0.5,1.3,165.0,-9.8,84.7,888.9,0
13,2019-01-30 18:05:00,0.0,0.3,0.9,214.0,-9.9,86.9,889.0,0
14,2019-01-30 18:10:00,0.0,0.4,1.0,166.0,-10.0,85.6,888.9,0
15,2019-01-30 18:15:00,0.0,0.3,0.9,178.0,-10.0,87.4,888.9,0
16,2019-01-30 18:20:00,0.0,0.3,0.8,139.0,-10.0,87.7,888.9,0
17,2019-01-30 18:25:00,0.0,0.4,0.7,118.0,-10.1,88.0,889.0,0
18,2019-01-30 18:30:00,0.0,0.5,1.0,88.0,-10.1,89.5,889.0,0
19,2019-01-30 18:35:00,0.0,0.5,1.3,183.0,-10.3,88.7,889.0,0
20,2019-01-30 18:40:00,0.0,0.5,1.5,192.0,-10.4,88.8,889.0,0
