,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,a,vp_a,Discharge
0,2019-01-30 17:00:00,0.0,-8.3,85.0,0.5,2.871,5.002,0,888.8,0,188.295,0.0,0.0,3.58
1,2019-01-30 17:15:00,0.0,-8.8,84.9,0.4,2.153,3.752,0,889.0,0,188.317,0.35,2.666,3.58
2,2019-01-30 17:30:00,0.0,-9.3,84.3,0.6,1.436,2.501,0,889.0,0,188.339,0.35,2.545,3.58
3,2019-01-30 17:45:00,0.0,-9.7,86.9,0.5,0.718,1.25,0,889.0,0,188.361,0.35,2.542,3.58
4,2019-01-30 18:00:00,0.0,-10.0,85.6,0.4,0.0,0.0,0,888.9,0,188.383,0.35,2.445,3.58
5,2019-01-30 18:15:00,0.0,-10.1,88.0,0.4,0.0,0.0,0,889.0,0,188.807,0.35,2.494,3.58
6,2019-01-30 18:30:00,0.0,-10.4,88.8,0.5,0.0,0.0,0,889.0,0,189.232,0.35,2.457,3.58
7,2019-01-30 18:45:00,0.0,-10.7,87.4,0.5,0.0,0.0,0,888.9,0,189.656,0.35,2.362,3.58
8,2019-01-30 19:00:00,0.0,-11.0,88.3,0.4,0.0,0.0,0,888.7,0,190.08,0.35,2.329,3.58
9,2019-01-30 19:15:00,0.0,-10.9,88.0,0.4,0.0,0.0,0,888.6,0,187.971,0.35,2.34,3.58
10,2019-01-30 19:30:00,0.0,-11.0,90.0,0.5,0.0,0.0,0,888.6,0,185.862,0.35,2.374,3.58
11,2019-01-30 19:45:00,0.0,-11.2,88.9,0.3,0.0,0.0,0,888.6,0,183.753,0.35,2.308,3.58
12,2019-01-30 20:00:00,0.0,-11.2,87.7,0.4,0.0,0.0,0,888.4,0,181.644,0.35,2.277,3.58
13,2019-01-30 20:15:00,0.0,-11.1,90.2,0.3,0.0,0.0,0,888.3,0,184.875,0.35,2.36,3.58
14,2019-01-30 20:30:00,0.0,-11.2,88.0,0.6,0.0,0.0,0,888.3,0,188.106,0.35,2.285,3.58
15,2019-01-30 20:45:00,0.0,-11.5,87.4,0.6,0.0,0.0,0,888.2,0,191.338,0.35,2.215,3.58
16,2019-01-30 21:00:00,0.0,-11.6,89.6,0.4,0.0,0.0,0,888.0,0,194.569,0.35,2.253,3.58
17,2019-01-30 21:15:00,0.0,-11.5,90.1,0.4,0.0,0.0,0,888.0,0,196.634,0.35,2.283,3.58
18,2019-01-30 21:30:00,0.0,-11.6,90.2,0.5,0.0,0.0,0,888.1,0,198.7,0.35,2.268,3.58
19,2019-01-30 21:45:00,0.0,-11.3,89.4,0.4,0.0,0.0,0,888.0,0,200.765,0.35,2.302,3.58
20,2019-01-30 22:00:00,0.0,-11.1,89.8,0.4,0.0,0.0,0,887.8,0,202.831,0.35,2.35,3.58
21,2019-01-30 22:15:00,0.0,-10.9,88.4,0.4,0.0,0.0,0,887.5,0,204.417,0.35,2.351,3.58
22,2019-01-30 22:30:00,0.0,-10.9,88.7,0.4,0.0,0.0,0,887.3,0,206.003,0.35,2.359,3.58
23,2019-01-30 22:45:00,0.0,-10.6,88.4,0.4,0.0,0.0,0,887.2,0,207.589,0.35,2.408,3.58
24,2019-01-30 23:00:00,0.0,-10.9,88.1,0.4,0.0,0.0,0,887.1,0,209.175,0.35,2.343,3.58
25,2019-01-30 23:15:00,0.0,-10.5,86.7,0.5,0.0,0.0,0,887.1,0,214.751,0.35,2.38,3.58
26,2019-01-30 23:30:00,0.0,-10.0,90.3,0.4,0.0,0.0,0,886.9,0,220.328,0.35,2.58,3.58
27,2019-01-30 23:45:00,0.0,-9.8,88.5,0.3,0.0,0.0,0,886.7,0,225.904,0.35,2.569,3.58
28,2019-01-31 00:00:00,0.0,-9.4,88.1,0.5,0.0,0.0,0,886.6,0,231.48,0.35,2.639,3.58
29,2019-01-31 00:15:00,0.0,-9.1,87.3,0.3,0.0,0.0,0,886.4,0,236.122,0.35,2.678,3.58
30,2019-01-31 00:30:00,0.0,-9.0,88.2,0.4,0.0,0.0,0,886.6,0,240.764,0.35,2.727,3.58
31,2019-01-31 00:45:00,0.0,-8.8,87.5,0.6,0.0,0.0,0,886.6,0,245.406,0.35,2.748,3.58
32,2019-01-31 01:00:00,0.0,-8.5,88.0,0.3,0.0,0.0,0,886.5,0,250.048,0.35,2.829,3.58
33,2019-01-31 01:15:00,0.0,-8.4,87.5,0.4,0.0,0.0,0,886.6,0,247.204,0.35,2.835,3.58
34,2019-01-31 01:30:00,0.0,-8.1,88.3,0.4,0.0,0.0,0,886.7,0,244.36,0.35,2.929,3.58
35,2019-01-31 01:45:00,0.0,-7.8,89.2,0.7,0.0,0.0,0,886.4,0,241.517,0.35,3.029,3.58
36,2019-01-31 02:00:00,0.0,-7.4,89.5,0.3,0.0,0.0,0,886.2,0,238.673,0.35,3.135,3.58
37,2019-01-31 02:15:00,0.0,-7.3,88.9,0.3,0.0,0.0,0,886.0,0,243.432,0.35,3.138,3.58
38,2019-01-31 02:30:00,0.0,-7.3,89.3,0.3,0.0,0.0,0,885.8,0,248.192,0.35,3.152,3.58
39,2019-01-31 02:45:00,0.0,-7.1,89.6,0.3,0.0,0.0,0,885.8,0,252.951,0.35,3.212,3.58
40,2019-01-31 03:00:00,0.0,-7.0,89.7,0.4,0.0,0.0,0,886.0,0,257.71,0.35,3.241,3.58
41,2019-01-31 03:15:00,0.0,-6.8,89.4,0.5,0.0,0.0,0,886.0,0,253.412,0.35,3.28,3.58
42,2019-01-31 03:30:00,0.0,-6.6,89.8,0.4,0.0,0.0,0,886.0,0,249.114,0.35,3.346,3.58
43,2019-01-31 03:45:00,0.0,-6.6,89.4,0.4,0.0,0.0,0,885.9,0,244.817,0.35,3.331,3.58
44,2019-01-31 04:00:00,0.0,-6.6,89.1,0.3,0.0,0.0,0,885.8,0,240.519,0.35,3.32,3.58
45,2019-01-31 04:15:00,0.0,-6.6,89.5,0.3,0.0,0.0,0,885.7,0,243.282,0.35,3.335,3.58
46,2019-01-31 04:30:00,0.0,-6.5,89.4,0.4,0.0,0.0,0,885.7,0,246.045,0.35,3.357,3.58
47,2019-01-31 04:45:00,0.0,-6.5,89.7,0.4,0.0,0.0,0,885.6,0,248.808,0.35,3.368,3.58
48,2019-01-31 05:00:00,0.0,-6.4,89.8,0.3,0.0,0.0,0,885.6,0,251.571,0.35,3.398,3.58
49,2019-01-31 05:15:00,0.0,-6.1,91.6,0.7,0.0,0.0,0,885.6,0,245.949,0.35,3.547,3.58
50,2019-01-31 05:30:00,0.0,-5.5,91.7,0.9,0.0,0.0,0,885.4,0,240.328,0.35,3.717,3.58
51,2019-01-31 05:45:00,0.0,-5.0,91.4,0.5,0.0,0.0,0,885.5,0,234.706,0.35,3.849,3.58
52,2019-01-31 06:00:00,0.0,-4.6,90.8,0.3,0.0,0.0,0,885.5,0,229.084,0.35,3.941,3.58
53,2019-01-31 06:15:00,0.0,-4.6,90.9,0.2,0.0,0.0,0,885.6,0,234.019,0.35,3.946,3.58
54,2019-01-31 06:30:00,0.0,-4.5,91.0,0.8,0.0,0.0,0,885.7,0,238.954,0.35,3.98,3.58
55,2019-01-31 06:45:00,0.0,-4.1,91.7,0.7,0.0,0.0,0,885.7,0,243.888,0.35,4.134,3.58
56,2019-01-31 07:00:00,0.0,-3.9,90.9,0.8,0.0,0.0,0,885.9,0,248.823,0.35,4.16,3.58
57,2019-01-31 07:15:00,0.035,-3.8,90.0,0.8,2.815,3.174,0,885.9,0,249.683,0.35,4.15,3.58
58,2019-01-31 07:30:00,0.074,-3.6,89.3,0.9,5.63,6.349,0,886.1,0,250.543,0.35,4.18,3.58
59,2019-01-31 07:45:00,0.111,-3.5,88.4,0.7,8.445,9.524,0,886.1,0,251.403,0.35,4.169,3.58
60,2019-01-31 08:00:00,0.148,-3.4,88.4,0.7,11.26,12.698,0,886.1,0,252.263,0.35,4.2,3.58
61,2019-01-31 08:15:00,0.183,-3.1,89.6,0.2,14.852,23.87,0,886.2,0,252.495,0.35,4.354,3.58
62,2019-01-31 08:30:00,0.217,-3.1,89.3,0.6,18.444,35.043,0,886.3,0,252.728,0.35,4.339,3.58
63,2019-01-31 08:45:00,0.249,-3.0,89.9,0.4,22.036,46.216,0,886.4,0,252.96,0.35,4.401,3.58
64,2019-01-31 09:00:00,0.279,-2.7,89.5,0.3,25.628,57.388,0,886.4,0,253.192,0.35,4.481,3.58
65,2019-01-31 09:15:00,0.308,-2.5,88.5,0.1,49.115,66.316,0,886.3,0,251.907,0.35,4.497,3.58
66,2019-01-31 09:30:00,0.334,-2.4,86.3,0.5,72.602,75.245,0,886.3,0,250.622,0.35,4.418,3.58
67,2019-01-31 09:45:00,0.358,-1.9,83.1,0.2,96.089,84.174,0,886.3,0,249.336,0.35,4.415,3.58
68,2019-01-31 10:00:00,0.379,-2.1,82.3,0.2,119.576,93.102,0,886.2,0,248.051,0.35,4.308,0.0
69,2019-01-31 10:15:00,0.398,-1.6,83.2,0.2,147.142,99.876,0,886.1,0,239.427,0.35,4.519,0.0
70,2019-01-31 10:30:00,0.415,-1.0,80.7,0.2,174.709,106.651,0,886.0,0,230.803,0.35,4.581,0.0
71,2019-01-31 10:45:00,0.428,-1.6,82.0,0.2,202.275,113.426,0,885.8,0,222.179,0.35,4.454,0.0
72,2019-01-31 11:00:00,0.439,-1.7,84.5,0.2,229.841,120.2,0,885.5,0,213.555,0.35,4.556,0.0
73,2019-01-31 11:15:00,0.446,-1.1,82.5,0.7,240.96,121.629,0,885.2,0,217.948,0.35,4.649,0.0
74,2019-01-31 11:30:00,0.451,-0.7,83.8,0.7,252.078,123.059,0,885.0,0,222.341,0.35,4.863,0.0
75,2019-01-31 11:45:00,0.452,-0.7,80.5,0.7,263.197,124.488,0,884.6,0,226.734,0.35,4.671,0.0
76,2019-01-31 12:00:00,0.451,-1.0,82.9,0.8,274.316,125.917,0,884.4,0,231.127,0.35,4.706,0.0
77,2019-01-31 12:15:00,0.446,-1.2,82.3,0.5,251.966,132.114,0,884.1,0,232.275,0.35,4.604,0.0
