,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing,LW_in,vp_a,h_s,DroneV,a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice,thickness
0,2019-01-30 21:00:00,0.0,-11.6,89.6,0.4,0.0,0.0,0.0,888.0,0,194.569,0.0,,,0.0,0,4.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.67602885415807,0.0,0,0.0,0.0,0.0,0.0029832421963353855,,,
1,2019-01-30 21:15:00,0.0,-11.5,90.1,0.4,0.0,0.0,0.0,888.0,0,196.634,0.0,,,0.35,0,4.04,0.0,0.0,0.0004747956292143973,13.487483926934145,0.01470827036743091,2.8127344883856784,0.05017932337735268,0.0,0.0,0.0,0.0,-118.28179546429864,0.0,-103.24053883563894,-15.041256628659694,-15.883008834442139,0.0,0.0,-0.05017932337735268,8.825001490279341,0.004999999999999999,1.6760288541580697,0.0,0,0.0,0.0,-118.28179546429864,0.0029832421963353855,13.487483926934145,6.138366353066667,
2,2019-01-30 21:30:00,0.0,-11.6,90.2,0.5,0.0,0.0,0.0,888.1,0,198.7,0.0,,,0.35,0,4.06,0.0,0.0,0.00047479562921439735,16.300218415319822,0.01777559260122118,3.2415027421798,0.0711666642666083,0.05017932337735268,0.0,0.0,57.78726551161432,-120.14173724659994,0.0,-101.17453883563894,-18.967198410961004,-19.85376745561879,6.532794757501824,0.0,-0.12134598764396098,10.01282078892282,0.005325873320253573,1.785263471667126,0.0,0,0.0,0.0,-120.14173724659994,0.0029832421963353855,33.68748392693414,6.138368335697566,0.00034757186581428894
3,2019-01-30 21:45:00,0.0,-11.3,89.4,0.4,0.0,0.0,0.0,888.0,0,200.765,0.0,,,0.35,0,4.04,0.0,0.0,0.0005692135837052937,19.541721157499623,0.021310491992911258,3.0728113984164254,0.056933423804112725,0.12134598764396098,0.0,0.0,115.44576276943451,-113.88920839249586,0.0,-99.10953883563894,-14.779669556856918,-15.883008834442139,7.528627747864943,0.0,-0.17827941144807372,10.01284027167182,0.006384989985578667,1.785263471667126,0.0,0,0.0,0.0,-113.88920839249586,0.0029832421963353855,53.98748392693414,6.138366353066667,0.00035303731747608367
4,2019-01-30 22:00:00,0.0,-11.1,89.8,0.4,0.0,0.0,0.0,887.8,0,202.831,0.0,,,0.35,0,4.04,0.0,0.0,0.000658717371406879,22.61453255591605,0.024661431358687078,3.0099297602345674,0.05693351054072765,0.17827941144807372,0.0,0.0,172.9729513710181,-111.55835148229555,0.0,-97.04353883563894,-14.514812646656607,-15.882998574236062,7.136814252445638,0.0,-0.23521292198880137,10.012861994149517,0.0073889890626472315,1.785263471667126,0.0,0,0.0,0.0,-111.55835148229555,0.0035764972996485474,74.18748392693414,6.1383623877661115,0.0003346642186289785
5,2019-01-30 22:15:00,0.0,-10.9,88.4,0.4,0.0,0.0,0.0,887.5,0,204.417,0.0,,,0.35,0,4.06,0.0,0.0,0.0007463889591320104,25.624462316150616,0.027943797509433606,2.9599592836023523,0.056933593816464616,0.23521292198880137,0.0,0.0,230.56302161078352,-109.70600694291436,0.0,-95.45753883563893,-14.24846810727543,-15.882983183676044,6.990750355579973,0.0,-0.29214651580526596,10.012886342248418,0.00837244242489201,1.785263471667126,0.0,0,0.0,0.0,-109.70600694291436,0.004138878759305594,94.38748392693414,6.138356439718311,0.000327814979639628
6,2019-01-30 22:30:00,0.0,-10.9,88.7,0.4,0.0,0.0,0.0,887.3,0,206.003,0.0,,,0.35,0,4.06,0.0,0.0,0.0008326043719340381,28.584421599752968,0.031171670228738242,2.9170888904423165,0.0569337100309439,0.29214651580526596,0.0,0.0,288.50306232718117,-108.116796020524,0.0,-93.87153883563894,-14.24525718488506,-15.882972923135304,6.87467232047113,0.0,-0.34908022583620985,10.012913249264447,0.009339568617677159,1.785263471667126,0.0,0,0.0,0.0,-108.116796020524,0.004689751713271544,114.68748392693414,6.138352474288417,0.0003223718525281703
7,2019-01-30 22:45:00,0.0,-10.6,88.4,0.4,0.0,0.0,0.0,887.2,0,207.589,0.0,,,0.35,0,4.06,0.0,0.0,0.0009175703721804277,31.501510490195283,0.03435279224666879,2.863685020199154,0.05693385876517393,0.34908022583620985,0.0,0.0,346.48597343673885,-106.13716344766762,0.0,-92.28553883563893,-13.851624612028687,-15.882967792814688,6.775083527588045,0.0,-0.4060140846013838,10.012942641361938,0.010292687496121953,1.785263471667126,0.0,0,0.0,0.0,-106.13716344766762,0.005231479143498983,134.98748392693415,6.13835049155405,0.0003177019453518425
8,2019-01-30 23:00:00,0.0,-10.9,88.1,0.4,0.0,0.0,0.0,887.1,0,209.175,0.0,,,0.35,0,4.06,0.0,0.0,0.001000980116067792,34.365195510394436,0.03747567667436689,2.831436085080477,0.05693402022344432,0.4060140846013838,0.0,0.0,404.5222884165397,-104.9415850981336,0.0,-90.69953883563892,-14.242046262494688,-15.882962662460544,6.651029382139922,0.0,-0.46294810482482807,10.012974271273881,0.0112283573907262,1.785263471667126,0.0,0,0.0,0.0,-104.9415850981336,0.005765360496907703,155.28748392693416,6.138348508806727,0.0003118847814825122
9,2019-01-30 23:15:00,0.0,-10.5,86.7,0.5,0.0,0.0,0.0,887.1,0,214.751,0.0,,,0.35,0,4.04,0.0,0.0,0.00108344974366618,37.19663159547491,0.04056339323388758,2.759438554029542,0.07116776677662479,0.46294810482482807,0.0,0.0,462.59085233145925,-102.27279178933092,0.0,-85.12353883563893,-17.149252953692,-19.85370332807568,6.5761075534479225,0.0,-0.5341158716014529,10.013008248940466,0.012153490387064484,1.785263471667126,0.0,0,0.0,0.0,-102.27279178933092,0.00628946795188772,175.58748392693417,6.138348508806727,0.0003083715663166151
