,When,h_ice,h_f,r_ice,ice,T_a,Discharge
0,2019-01-30 20:55:00,0.005,1.35,1.6842310586208447,0.0,-11.5,0.0
1,2019-01-30 21:00:00,0.005,1.35,1.6842310586208447,0.014852582247399585,-11.5,4.04
2,2019-01-30 21:05:00,0.002061252609248737,1.35,0.6943251328319957,0.9542341256293291,-11.6,4.04
3,2019-01-30 21:10:00,0.0021349014371762143,1.35,0.7191334615172915,1.0602170336490266,-11.6,4.04
4,2019-01-30 21:15:00,0.0022398808056473237,1.35,0.7544953640959805,1.224435783353545,-11.6,4.04
5,2019-01-30 21:20:00,0.002343126577241287,1.35,0.7892733111339458,1.4016789102667206,-11.6,4.04
6,2019-01-30 21:25:00,0.002439451408346533,1.35,0.8217199655867182,1.5817498575121098,-11.5,4.04
7,2019-01-30 21:30:00,0.0025420702465026508,1.35,0.8562867324711422,1.7898800653429472,-11.6,4.04
8,2019-01-30 21:35:00,0.0026414101678408244,1.35,0.8897490086468829,2.008023654558278,-11.6,4.04
9,2019-01-30 21:40:00,0.0027476836442934752,1.35,0.925546826596716,2.2602760040762107,-11.6,4.06
10,2019-01-30 21:45:00,0.0028531877068673005,1.35,0.9610854703962187,2.530767922661838,-11.5,4.04
11,2019-01-30 21:50:00,0.0029582090970884656,1.35,0.9964615278422239,2.820641513685054,-11.4,4.04
12,2019-01-30 21:55:00,0.0030588957215505687,1.35,1.0303774358635773,3.11856862148306,-11.3,4.04
13,2019-01-30 22:00:00,0.003158956532446958,1.35,1.0640825409560746,3.434727115862202,-11.2,4.04
14,2019-01-30 22:05:00,0.0032582025485280446,1.35,1.0975131855017044,3.7687343478107467,-11.1,4.04
15,2019-01-30 22:10:00,0.003354006702538802,1.35,1.129784451847667,4.111052918012954,-11.1,4.04
16,2019-01-30 22:15:00,0.0034536101776932817,1.35,1.1633355051280159,4.48829336009723,-11.1,4.04
17,2019-01-30 22:20:00,0.0035503481428724613,1.35,1.195921322228527,4.876116949725625,-11.0,4.04
18,2019-01-30 22:25:00,0.003650268606736574,1.35,1.229579151954875,5.299510522977558,-10.9,4.06
19,2019-01-30 22:30:00,0.00375012433019405,1.35,1.2632151741205022,5.746432211492666,-10.9,4.04
20,2019-01-30 22:35:00,0.0038503731744630797,1.35,1.2969836175422509,6.219704582951426,-10.9,4.06
21,2019-01-30 22:40:00,0.0039542978483622145,1.35,1.331990250249844,6.737044623836644,-10.9,4.06
22,2019-01-30 22:45:00,0.004055087388337386,1.35,1.3659408249719023,7.265440360142922,-10.9,4.06
23,2019-01-30 22:50:00,0.004160299023204224,1.35,1.4013809656061031,7.845758377000055,-10.8,4.06
24,2019-01-30 22:55:00,0.004264145787099772,1.35,1.4363613546241327,8.448068406707666,-10.6,4.06
25,2019-01-30 23:00:00,0.004364404072483902,1.35,1.4701329782497377,9.05807986855617,-10.7,4.04
26,2019-01-30 23:05:00,0.004469482034970105,1.35,1.5055280918489093,9.728208646348607,-10.8,4.04
27,2019-01-30 23:10:00,0.004568354989386466,1.35,1.538833071986037,10.388212391659073,-10.9,4.06
28,2019-01-30 23:15:00,0.0046708463981001555,1.35,1.5733569147455169,11.103197004616314,-10.8,4.06
29,2019-01-30 23:20:00,0.004775595870505748,1.35,1.6086413777054458,11.867083347931034,-10.7,4.03
30,2019-01-30 23:25:00,0.004882190740755168,1.35,1.6445474559381923,12.679598938640305,-10.5,4.04
31,2019-01-30 23:30:00,0.004984826100524902,1.35,1.6791197880655744,13.4961944024257,-10.5,4.06
32,2019-01-30 23:35:00,0.0050903596746791815,1.35,1.7146683727291552,14.371652184124324,-10.4,4.04
33,2019-01-30 23:40:00,0.005408996865222156,1.35,1.7146683727291552,15.271263050167653,-10.0,4.06
34,2019-01-30 23:45:00,0.00569733022325959,1.35,1.7146683727291552,16.08531686946987,-9.9,4.04
35,2019-01-30 23:50:00,0.005987941593574279,1.35,1.7146683727291552,16.905802218607345,-9.9,4.02
36,2019-01-30 23:55:00,0.00627750915109281,1.35,1.7146683727291552,17.723340562933675,-9.8,4.02
37,2019-01-31 00:00:00,0.006553667448815098,1.35,1.7146683727291552,18.50302043945924,-9.7,4.02
38,2019-01-31 00:05:00,0.006837672983594859,1.35,1.7146683727291552,19.304855481592718,-9.5,4.02
39,2019-01-31 00:10:00,0.0071165163669635765,1.35,1.7146683727291552,20.092116181372685,-9.4,4.02
40,2019-01-31 00:15:00,0.007402616030665424,1.35,1.7146683727291552,20.89986359403013,-9.3,4.02
41,2019-01-31 00:20:00,0.007694287839948189,1.35,1.7146683727291552,21.723342888779634,-9.1,4.02
42,2019-01-31 00:25:00,0.007974030992641355,1.35,1.7146683727291552,22.513143914313247,-9.1,4.02
43,2019-01-31 00:30:00,0.008235939616571514,1.35,1.7146683727291552,23.252592575646613,-9.1,4.02
44,2019-01-31 00:35:00,0.008498879365613587,1.35,1.7146683727291552,23.994952420553204,-9.0,4.0
45,2019-01-31 00:40:00,0.008768072646634201,1.35,1.7146683727291552,24.754967911084396,-9.0,4.02
46,2019-01-31 00:45:00,0.009035240051865144,1.35,1.7146683727291552,25.509263730692883,-9.0,4.0
47,2019-01-31 00:50:00,0.009311800031015007,1.35,1.7146683727291552,26.290077677526803,-8.9,4.04
48,2019-01-31 00:55:00,0.00956838361385581,1.35,1.7146683727291552,27.01449210880702,-8.8,4.02
49,2019-01-31 01:00:00,0.009848694315750167,1.35,1.7146683727291552,27.80589550042834,-8.7,4.02
50,2019-01-31 01:05:00,0.010090884003499145,1.35,1.7146683727291552,28.48967153539572,-8.6,4.02
51,2019-01-31 01:10:00,0.010350654867933991,1.35,1.7146683727291552,29.22308464366732,-8.5,4.02
52,2019-01-31 01:15:00,0.010599983223938094,1.35,1.7146683727291552,29.927015336414755,-8.5,4.03
53,2019-01-31 01:20:00,0.010867845013484378,1.35,1.7146683727291552,30.683271616678272,-8.5,4.02
54,2019-01-31 01:25:00,0.011126191411302472,1.35,1.7146683727291552,31.412663017237225,-8.4,4.04
55,2019-01-31 01:30:00,0.011462674666502396,1.35,1.7146683727291552,32.362658816860176,-8.4,4.02
56,2019-01-31 01:35:00,0.011904062324024972,1.35,1.7146683727291552,33.608832034016906,-8.3,4.02
57,2019-01-31 01:40:00,0.012238352643067297,1.35,1.7146683727291552,34.55263649987698,-8.1,4.02
58,2019-01-31 01:45:00,0.01249144700802815,1.35,1.7146683727291552,35.26719979509412,-8.0,4.04
59,2019-01-31 01:50:00,0.012734795587789931,1.35,1.7146683727291552,35.95424773892284,-7.9,4.02
60,2019-01-31 01:55:00,0.013007332939403928,1.35,1.7146683727291552,36.723704570050515,-7.8,4.02
61,2019-01-31 02:00:00,0.013276651292939532,1.35,1.7146683727291552,37.48407317878909,-7.7,4.04
