,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,DroneV,h_s,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,TotalE,SW,LW,Qs,Ql,Qf,Qg,ppt,dpt,cdt
0,2019-01-30 17:15:00,0.0,-8.8,84.9,0.4,2.153,3.752,0.0,889.0,SW_directSW_diffuseLW_in,188.317,,,0.85,2.666,0,3.58,0,0,1,-119.242,3.838,-111.558,-11.523,0,0,0,0,0,0
1,2019-01-30 17:30:00,0.0,-9.3,84.3,0.6,1.436,2.501,0.0,889.0,SW_directSW_diffuseLW_in,188.339,,,0.849,2.545,0,3.58,0,0,1,-127.243,2.559,-111.536,-18.266,0,0,0,0,0,0
2,2019-01-30 17:45:00,0.0,-9.7,86.9,0.5,0.718,1.25,0.0,889.0,SW_directSW_diffuseLW_in,188.361,,,0.849,2.542,0,3.58,0,0,1,-126.111,1.279,-111.514,-15.877,0,0,0,0,0,0
3,2019-01-30 18:00:00,0.0,-10.0,85.6,0.4,0.0,0.0,0.0,888.9,SW_directSW_diffuseLW_in,188.383,,,0.848,2.445,0,3.58,0,0,1,-124.584,0.0,-111.492,-13.093,0,0,0,0,0,0
4,2019-01-30 18:15:00,0.0,-10.1,88.0,0.4,0.0,0.0,0.0,889.0,SW_directSW_diffuseLW_in,188.807,,,0.848,2.494,0,3.58,0,0,1,-124.293,0.0,-111.068,-13.225,0,0,0,0,0,0
5,2019-01-30 18:30:00,0.0,-10.4,88.8,0.5,0.0,0.0,0.0,889.0,SW_directSW_diffuseLW_in,189.232,,,0.847,2.457,0,3.58,0,0,1,-127.665,0.0,-110.643,-17.022,0,0,0,0,0,0
6,2019-01-30 18:45:00,0.0,-10.7,87.4,0.5,0.0,0.0,0.0,888.9,SW_directSW_diffuseLW_in,189.656,,,0.847,2.362,0,3.58,0,0,1,-127.73,0.0,-110.219,-17.511,0,0,0,0,0,0
7,2019-01-30 19:00:00,0.0,-11.0,88.3,0.4,0.0,0.0,0.0,888.7,SW_directSW_diffuseLW_in,190.08,,,0.846,2.329,0,3.58,0,0,1,-124.193,0.0,-109.795,-14.399,0,0,0,0,0,0
8,2019-01-30 19:15:00,0.0,-10.9,88.0,0.4,0.0,0.0,0.0,888.6,SW_directSW_diffuseLW_in,187.971,,,0.846,2.34,0,3.58,0,0,1,-126.17,0.0,-111.904,-14.266,0,0,0,0,0,0
9,2019-01-30 19:30:00,0.0,-11.0,90.0,0.5,0.0,0.0,0.0,888.6,SW_directSW_diffuseLW_in,185.862,,,0.845,2.374,0,3.58,0,0,1,-132.009,0.0,-114.013,-17.996,0,0,0,0,0,0
