,level_0,index,When,T_a,RH,v_a,SW_direct,SW_diffuse,LW_in,p_a,Prec
0,0,0,2019-01-30 17:00:00,-5.861,65.349,1.778,2.871,5.002,188.295,875.341,0.0
1,1,1,2019-01-30 17:15:00,-6.202249999999999,66.14075,1.8885,2.15325,3.7515,188.317,875.34225,0.0
2,2,2,2019-01-30 17:30:00,-6.5435,66.9325,1.999,1.4355,2.501,188.339,875.3435,0.0
3,3,3,2019-01-30 17:45:00,-6.88475,67.72425000000001,2.1095,0.7177500000000001,1.2504999999999997,188.361,875.34475,0.0
4,4,4,2019-01-30 18:00:00,-7.226,68.516,2.22,0.0,0.0,188.383,875.346,0.0
5,5,5,2019-01-30 18:15:00,-7.388,69.05625,2.2355,0.0,0.0,188.80725,875.3175,0.0
6,6,6,2019-01-30 18:30:00,-7.55,69.5965,2.2510000000000003,0.0,0.0,189.2315,875.289,0.0
7,7,7,2019-01-30 18:45:00,-7.712,70.13675,2.2665,0.0,0.0,189.65575,875.2605,0.0
8,8,8,2019-01-30 19:00:00,-7.874,70.677,2.282,0.0,0.0,190.08,875.232,0.0
9,9,9,2019-01-30 19:15:00,-7.8925,70.988,2.2435,0.0,0.0,187.971,875.1379999999999,0.0
10,10,10,2019-01-30 19:30:00,-7.911,71.299,2.205,0.0,0.0,185.86200000000002,875.044,0.0
11,11,11,2019-01-30 19:45:00,-7.9295,71.61000000000001,2.1665,0.0,0.0,183.75300000000001,874.95,0.0
12,12,12,2019-01-30 20:00:00,-7.948,71.921,2.128,0.0,0.0,181.644,874.856,0.0
13,13,13,2019-01-30 20:15:00,-8.059000000000001,73.191,1.9905000000000002,0.0,0.0,184.87525,874.87325,0.0
14,14,14,2019-01-30 20:30:00,-8.17,74.46100000000001,1.8530000000000002,0.0,0.0,188.10649999999998,874.8905,0.0
15,15,15,2019-01-30 20:45:00,-8.280999999999999,75.73100000000001,1.7155,0.0,0.0,191.33775,874.90775,0.0
16,16,16,2019-01-30 21:00:00,-8.392,77.001,1.578,0.0,0.0,194.569,874.925,0.0
17,17,17,2019-01-30 21:15:00,-8.482,76.6085,1.67475,0.0,0.0,196.6345,874.76425,0.0
18,18,18,2019-01-30 21:30:00,-8.572,76.21600000000001,1.7715,0.0,0.0,198.7,874.6034999999999,0.0
19,19,19,2019-01-30 21:45:00,-8.662,75.8235,1.8682500000000002,0.0,0.0,200.76549999999997,874.44275,0.0
20,20,20,2019-01-30 22:00:00,-8.752,75.431,1.965,0.0,0.0,202.831,874.282,0.0
21,21,21,2019-01-30 22:15:00,-8.801,75.7025,1.9275,0.0,0.0,204.417,874.085,0.0
22,22,22,2019-01-30 22:30:00,-8.850000000000001,75.97399999999999,1.8900000000000001,0.0,0.0,206.003,873.888,0.0
23,23,23,2019-01-30 22:45:00,-8.899000000000001,76.24549999999999,1.8525,0.0,0.0,207.589,873.691,0.0
24,24,24,2019-01-30 23:00:00,-8.948,76.517,1.815,0.0,0.0,209.175,873.494,0.0
25,25,25,2019-01-30 23:15:00,-8.8595,76.5355,1.7055,0.0,0.0,214.75125,873.40725,0.0
26,26,26,2019-01-30 23:30:00,-8.771,76.554,1.596,0.0,0.0,220.3275,873.3205,0.0
27,27,27,2019-01-30 23:45:00,-8.6825,76.57249999999999,1.4865,0.0,0.0,225.90375,873.2337500000001,0.0
28,28,28,2019-01-31 00:00:00,-8.594,76.591,1.377,0.0,0.0,231.48,873.147,0.0
29,29,29,2019-01-31 00:15:00,-8.501,76.4935,1.4815,0.0,0.0,236.12199999999999,873.1655000000001,0.0
30,30,30,2019-01-31 00:30:00,-8.408,76.39599999999999,1.5859999999999999,0.0,0.0,240.764,873.184,0.0
31,31,31,2019-01-31 00:45:00,-8.315,76.29849999999999,1.6905,0.0,0.0,245.406,873.2025,0.0
32,32,32,2019-01-31 01:00:00,-8.222,76.201,1.795,0.0,0.0,250.048,873.221,0.0
33,33,33,2019-01-31 01:15:00,-8.2785,77.185,1.8599999999999999,0.0,0.0,247.20425,873.231,0.0
34,34,34,2019-01-31 01:30:00,-8.335,78.169,1.925,0.0,0.0,244.3605,873.241,0.0
35,35,35,2019-01-31 01:45:00,-8.3915,79.15299999999999,1.9900000000000002,0.0,0.0,241.51675,873.251,0.0
36,36,36,2019-01-31 02:00:00,-8.448,80.137,2.055,0.0,0.0,238.673,873.261,0.0
