,When,Discharge,v_a,Maximum Wind Speed,Wind Direction,T_a,RH,p_a,Fountain
0,2019-01-30 17:00:00,0.0,0.5,1.1,192.0,-9.7,86.9,889.0,0
1,2019-01-30 18:00:00,0.0,0.5,1.1,160.0,-10.7,87.4,888.9,0
2,2019-01-30 19:00:00,0.0,0.3,1.0,177.0,-11.2,88.9,888.6,0
3,2019-01-30 20:00:00,0.0,0.6,1.3,193.0,-11.5,87.4,888.2,0
4,2019-01-30 21:00:00,4.04,0.4,0.7,199.0,-11.3,89.4,888.0,1
5,2019-01-30 22:00:00,4.06,0.4,0.8,182.0,-10.6,88.4,887.2,1
6,2019-01-30 23:00:00,4.02,0.3,0.8,189.0,-9.8,88.5,886.7,1
7,2019-01-31 00:00:00,4.02,0.6,0.8,218.0,-8.8,87.5,886.6,1
8,2019-01-31 01:00:00,4.02,0.7,1.0,233.0,-7.8,89.2,886.4,1
9,2019-01-31 02:00:00,4.04,0.3,0.6,127.0,-7.1,89.6,885.8,1
10,2019-01-31 03:00:00,4.02,0.4,0.8,231.0,-6.6,89.4,885.9,1
11,2019-01-31 04:00:00,4.02,0.4,1.6,285.0,-6.5,89.7,885.6,1
12,2019-01-31 05:00:00,4.04,0.5,1.1,216.0,-5.0,91.4,885.5,1
13,2019-01-31 06:00:00,4.02,0.7,1.3,218.0,-4.1,91.7,885.7,1
14,2019-01-31 07:00:00,4.13,0.7,1.3,233.0,-3.5,88.4,886.1,1
15,2019-01-31 08:00:00,4.13,0.4,0.9,223.0,-3.0,89.9,886.4,1
16,2019-01-31 09:00:00,4.15,0.2,0.6,156.0,-1.9,83.1,886.3,1
17,2019-01-31 10:00:00,4.13,0.2,0.4,132.0,-1.6,82.0,885.8,1
18,2019-01-31 11:00:00,0.0,0.7,2.0,44.0,-0.7,80.5,884.6,0
19,2019-01-31 12:00:00,0.0,0.9,2.5,23.0,-1.2,82.0,884.0,0
20,2019-01-31 13:00:00,0.0,0.3,0.8,298.0,-1.2,80.1,884.1,0
21,2019-01-31 14:00:00,0.0,0.4,0.9,287.0,-1.2,80.0,883.1,0
22,2019-01-31 15:00:00,0.0,0.4,1.0,297.0,-1.4,82.1,882.7,0
23,2019-01-31 16:00:00,0.0,0.4,0.8,196.0,-2.2,86.7,882.4,0
24,2019-01-31 17:00:00,0.0,0.2,0.6,253.0,-2.2,87.8,882.3,0
25,2019-01-31 18:00:00,0.0,0.2,0.6,7.0,-2.2,88.4,881.8,0
26,2019-01-31 19:00:00,0.0,0.3,0.9,41.0,-2.4,88.9,882.0,0
27,2019-01-31 20:00:00,0.0,0.4,0.9,168.0,-3.4,90.0,881.7,0
28,2019-01-31 21:00:00,0.0,0.4,0.7,65.0,-3.2,91.0,881.5,0
29,2019-01-31 22:00:00,0.0,0.3,0.5,44.0,-3.2,91.1,881.5,0
30,2019-01-31 23:00:00,0.0,0.5,1.0,217.0,-3.2,91.6,881.4,0
31,2019-02-01 00:00:00,0.0,0.5,1.0,201.0,-2.8,91.4,881.7,0
32,2019-02-01 01:00:00,0.0,1.1,2.8,209.0,-2.4,93.0,881.7,0
33,2019-02-01 02:00:00,0.0,0.3,0.8,344.0,-0.5,93.8,881.6,0
34,2019-02-01 03:00:00,0.0,0.3,0.5,175.0,-0.3,93.0,881.0,0
35,2019-02-01 04:00:00,0.0,0.4,0.7,221.0,-0.4,94.5,880.6,0
36,2019-02-01 05:00:00,0.0,0.5,0.8,326.0,0.0,94.5,880.8,0
37,2019-02-01 06:00:00,0.0,0.2,0.5,186.0,0.0,94.4,880.9,0
38,2019-02-01 07:00:00,0.0,0.3,0.6,202.0,0.1,94.5,881.1,0
39,2019-02-01 08:00:00,0.0,0.4,0.7,199.0,0.2,94.6,881.3,0
40,2019-02-01 09:00:00,0.0,0.3,0.4,243.0,0.4,94.4,881.0,0
41,2019-02-01 10:00:00,0.0,0.3,0.4,254.0,0.4,94.0,880.7,0
42,2019-02-01 11:00:00,0.0,0.2,0.4,124.0,0.4,93.6,879.3,0
43,2019-02-01 12:00:00,0.0,0.2,0.3,29.0,0.3,93.9,878.4,0
44,2019-02-01 13:00:00,0.0,0.3,0.4,2.0,0.3,94.2,877.8,0
45,2019-02-01 14:00:00,0.0,0.1,0.3,291.0,0.1,94.1,877.4,0
46,2019-02-01 15:00:00,0.0,0.2,0.7,5.0,0.0,94.5,877.2,0
47,2019-02-01 16:00:00,0.0,0.0,0.0,0.0,-0.3,94.1,878.2,0
48,2019-02-01 17:00:00,0.0,0.0,0.0,0.0,-0.5,93.5,879.2,0
49,2019-02-01 18:00:00,0.0,0.0,0.0,0.0,-0.2,94.2,879.7,0
50,2019-02-01 19:00:00,0.0,0.0,0.0,0.0,0.0,94.6,879.9,0
51,2019-02-01 20:00:00,0.0,0.0,0.0,0.0,0.0,94.7,879.9,0
52,2019-02-01 21:00:00,0.0,0.0,0.0,0.0,0.0,94.8,879.7,0
53,2019-02-01 22:00:00,0.0,0.0,0.0,0.0,-0.2,94.7,879.9,0
54,2019-02-01 23:00:00,0.0,0.0,0.0,0.0,0.0,94.9,880.5,0
55,2019-02-02 00:00:00,0.0,0.0,0.0,0.0,0.0,94.7,880.5,0
56,2019-02-02 01:00:00,0.0,0.0,0.0,0.0,-0.3,94.7,880.5,0
57,2019-02-02 02:00:00,0.0,0.0,0.0,0.0,-0.4,94.6,880.5,0
58,2019-02-02 03:00:00,0.0,0.0,0.0,0.0,-1.1,93.9,880.6,0
59,2019-02-02 04:00:00,0.0,0.0,0.0,0.0,-1.7,93.5,881.3,0
60,2019-02-02 05:00:00,0.0,0.0,0.0,0.0,-3.0,91.6,882.1,0
61,2019-02-02 06:00:00,0.0,0.0,0.0,0.0,-3.5,92.9,882.8,0
62,2019-02-02 07:00:00,0.0,0.0,0.0,0.0,-4.1,90.8,883.4,0
63,2019-02-02 08:00:00,0.0,0.0,0.0,0.0,-3.6,91.2,883.9,0
64,2019-02-02 09:00:00,0.0,0.0,0.0,0.0,-0.9,85.0,884.3,0
65,2019-02-02 10:00:00,0.0,0.0,0.0,0.0,0.9,83.8,884.2,0
66,2019-02-02 11:00:00,0.0,0.0,0.0,0.0,0.9,89.6,884.4,0
67,2019-02-02 12:00:00,0.0,0.0,0.0,0.0,0.7,92.3,884.9,0
68,2019-02-02 13:00:00,0.0,0.0,0.0,0.0,0.8,90.8,885.3,0
69,2019-02-02 14:00:00,0.0,0.0,0.0,0.0,0.6,93.4,885.6,0
70,2019-02-02 15:00:00,0.0,0.0,0.0,0.0,0.5,92.5,886.4,0
71,2019-02-02 16:00:00,0.0,0.0,0.0,0.0,0.2,94.6,886.9,0
72,2019-02-02 17:00:00,0.0,0.0,0.0,0.0,-0.4,94.5,887.9,0
73,2019-02-02 18:00:00,0.0,0.0,0.0,0.0,0.0,94.9,888.9,0
74,2019-02-02 19:00:00,0.0,0.0,0.0,0.0,0.0,93.1,889.4,0
75,2019-02-02 20:00:00,0.0,0.0,0.0,0.0,0.0,92.7,889.9,0
76,2019-02-02 21:00:00,0.0,0.0,0.0,0.0,0.0,92.7,890.2,0
77,2019-02-02 22:00:00,0.0,0.0,0.0,0.0,-0.2,93.7,890.6,0
78,2019-02-02 23:00:00,0.0,0.0,0.0,0.0,-0.4,93.4,891.3,0
79,2019-02-03 00:00:00,0.0,0.0,0.0,0.0,-0.7,93.7,891.9,0
80,2019-02-03 01:00:00,0.0,0.0,0.0,0.0,-0.9,93.0,892.5,0
81,2019-02-03 02:00:00,0.0,0.0,0.0,0.0,-1.1,92.5,893.2,0
82,2019-02-03 03:00:00,0.0,0.0,0.0,0.0,-1.1,93.0,893.9,0
83,2019-02-03 04:00:00,0.0,0.0,0.0,0.0,-1.3,92.7,894.9,0
84,2019-02-03 05:00:00,0.0,0.0,0.0,0.0,-1.7,92.4,895.5,0
85,2019-02-03 06:00:00,0.0,0.0,0.0,0.0,-1.7,93.1,896.3,0
86,2019-02-03 07:00:00,0.0,0.0,0.0,0.0,-1.8,92.0,897.8,0
87,2019-02-03 08:00:00,0.0,0.0,0.0,0.0,-1.8,92.2,898.8,0
88,2019-02-03 09:00:00,0.0,0.0,0.0,0.0,-1.5,91.3,899.7,0
89,2019-02-03 10:00:00,0.0,0.0,0.0,0.0,-1.5,91.6,900.7,0
90,2019-02-03 11:00:00,0.0,0.0,0.0,0.0,-1.7,91.7,901.5,0
91,2019-02-03 12:00:00,0.0,0.0,0.0,0.0,-1.8,91.3,902.1,0
92,2019-02-03 13:00:00,0.0,0.0,0.0,0.0,-1.6,88.5,903.0,0
93,2019-02-03 14:00:00,0.0,0.0,0.0,0.0,-1.9,89.1,904.1,0
94,2019-02-03 15:00:00,0.0,0.0,0.0,0.0,-2.9,91.3,905.1,0
95,2019-02-03 16:00:00,0.0,0.0,0.0,0.0,-3.0,89.7,906.1,0
96,2019-02-03 17:00:00,3.99,0.0,0.0,0.0,-3.3,87.8,907.4,1
97,2019-02-03 18:00:00,3.97,0.0,0.0,0.0,-3.6,90.7,908.5,1
98,2019-02-03 19:00:00,3.99,0.0,0.0,0.0,-3.6,86.8,909.4,1
99,2019-02-03 20:00:00,3.99,0.0,0.0,0.0,-3.6,89.2,910.0,1
100,2019-02-03 21:00:00,3.98,0.0,0.0,0.0,-3.7,90.3,910.4,1
101,2019-02-03 22:00:00,3.98,0.0,0.0,0.0,-3.7,90.4,910.6,1
102,2019-02-03 23:00:00,3.98,0.0,0.0,0.0,-3.7,90.1,910.8,1
103,2019-02-04 00:00:00,3.97,0.0,0.0,0.0,-3.8,90.1,910.6,1
104,2019-02-04 01:00:00,3.97,0.0,0.0,0.0,-4.9,88.7,910.7,1
105,2019-02-04 02:00:00,3.97,0.0,0.0,0.0,-7.2,87.6,911.1,1
106,2019-02-04 03:00:00,3.97,0.0,0.0,0.0,-8.7,90.1,912.0,1
107,2019-02-04 04:00:00,3.98,0.0,0.0,0.0,-9.2,87.6,911.9,1
108,2019-02-04 05:00:00,4.0,0.0,0.0,0.0,-9.9,89.0,911.8,1
