,When,sea,T_a,RH,v_a,SW_direct,SW_diffuse,Prec,p_a,missing_type,LW_in,DroneV,h_s,h_f,a,vp_a,cld,Discharge,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,thickness,fountain_in,$q_{T}$,$q_{melt}$,s_cone,input,vp_ice
0,2019-01-30 17:00:00,0.0,-8.3,85.0,0.5,2.871,5.002,0.0,888.8,SW_directSW_diffuseLW_in,188.295,,,1.35,0.85,0.0,0,3.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,1.67602885415807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010143023467540311,,
1,2019-01-30 17:15:00,0.0,-8.8,84.9,0.4,2.153,3.752,0.0,889.0,SW_directSW_diffuseLW_in,188.317,,,1.35,0.849,2.666,0,3.58,0.0,0.0,0.001614229288190534,45.85744535157609,0.05000811924926509,2.913495249243966,0.028387060400745207,0.0,0.028387060400745207,-0.2473624727443213,0.0,-122.51325472575266,0.5670767907842786,-111.55753883563892,-11.522792680898018,-8.984791259134154,0.0,0.0,0.0,8.82541616892163,0.016999999999999998,1.6760288541580697,0.0,0.0,0.0,0.0,50.78650475075604,-8.984791259134154,-122.51325472575266,0.010143023467540311,45.85744535157609,6.138386178795051
2,2019-01-30 17:30:00,0.0,-9.3,84.3,0.6,1.436,2.501,0.0,889.0,SW_directSW_diffuseLW_in,188.339,,,1.35,0.849,2.545,0,3.58,-0.2473624727443213,0.0,0.001614229288190534,48.74255354041931,0.053154365911035235,3.191466288539678,0.04431077979813509,0.028387060400745207,0.04431077979813509,-0.12336704934048182,50.78650475075604,-128.85266675757475,0.3780010230219341,-110.45075748995151,-17.780397518503033,-13.46577487108739,-1.6135567913183388,0.6140440191762018,0.028387060400745207,9.191805107471616,0.017349290864317184,1.710465416928035,0.0,0.0,0.0,0.00035649839073306614,50.50853371146032,-4.480983611953237,-128.85266675757475,0.010143023467540311,96.64395010233213,6.014445881790809
3,2019-01-30 17:45:00,0.0,-9.7,86.9,0.5,0.718,1.25,0.0,889.0,SW_directSW_diffuseLW_in,188.361,,,1.35,0.848,2.542,0,3.58,-0.37072952208480314,-0.049697679928586265,0.0017184432844785248,51.88970904916085,0.056586378461462215,3.164367543698736,0.03630905929321925,0.07269784019888029,0.03630905929321925,0.017251408413700566,101.29503846221635,-127.75770261821198,0.1901875440262949,-109.88884590917809,-15.26977977003397,-11.034025313156164,-3.586182788596769,0.79691830557054,0.07269784019888029,9.191868130372699,0.018469480767193687,1.710465416928035,0.0,0.0,0.0,0.0003733774280785446,50.535632456301265,0.626612039423545,-127.75770261821198,0.010143023467540311,147.15248381379246,5.953489116560331
4,2019-01-30 18:00:00,0.0,-10.0,85.6,0.4,0.0,0.0,0.0,888.9,SW_directSW_diffuseLW_in,188.383,,,1.35,0.848,2.445,0,3.58,-0.3534781136711026,-0.11028481703391134,0.0018220227171833487,55.01776753356637,0.059997565467357,3.0414941742866257,0.029945646988161663,0.10900689949209955,0.029945646988161663,-0.007345713453104698,151.83067091851763,-122.79594254975707,0.0,-109.94230205382055,-12.629814594063298,-9.100170623933463,-0.827520502946193,0.6036946010729891,0.10900689949209955,9.191934676507062,0.019582873327588454,1.710465416928035,0.0,0.0,0.0,0.00037110921931344897,50.65850582571338,-0.2668137219576465,-122.79594254975707,0.010797927034598887,197.68811627009373,5.961977277251565
5,2019-01-30 18:15:00,0.0,-10.1,88.0,0.4,0.0,0.0,0.0,889.0,SW_directSW_diffuseLW_in,188.807,,,1.35,0.847,2.494,0,3.58,-0.3608238271242073,-0.15357259927912287,0.0019217419683662145,58.029316060864836,0.0632816969038875,3.010834350291461,0.02949787281229304,0.1389525464802612,0.02949787281229304,-0.03953967932841745,202.489176744231,-121.55720045600606,0.0,-109.48617079851809,-12.752557718498812,-8.96403064299159,0.16705480436314168,0.5144732566476978,0.1389525464802612,9.192002422863933,0.020654795653298797,1.710465416928035,0.0,0.0,0.0,0.000357284026933323,50.68916564970854,-1.43617486224813,-121.55720045600606,0.011448856629185137,248.3466220958071,5.958362745141719
6,2019-01-30 18:30:00,0.0,-10.4,88.8,0.5,0.0,0.0,0.0,889.0,SW_directSW_diffuseLW_in,189.232,,,1.35,0.847,2.457,0,3.58,-0.40036350645262475,-0.18854855265621018,0.0020204586003626677,61.010652538344004,0.06653288172120393,3.0913224040713403,0.03705960819708804,0.16845041929255425,0.03705960819708804,-0.09823804959381677,253.17834239393954,-124.80580676790295,0.0,-108.88826287887727,-16.367008266972785,-11.261859908751237,-0.07633771364666586,0.5258020915937733,0.16845041929255425,9.192073044414027,0.021715964384832184,1.710465416928035,0.0,0.0,0.0,0.0003536971236245026,50.60867759592866,-3.5682387854249624,-124.80580676790295,0.012075541223390787,299.0357877455157,5.938930793209539
7,2019-01-30 18:45:00,0.0,-10.7,87.4,0.5,0.0,0.0,0.0,888.9,SW_directSW_diffuseLW_in,189.656,,,1.35,0.846,2.362,0,3.58,-0.4986015560464415,-0.22254818220621897,0.0021215875153593887,64.06491533421826,0.06986359360329145,3.1271481663501395,0.037559820992713336,0.20551002748964228,0.037559820992713336,-0.03818197743815237,303.7870199898682,-126.251154426534,0.0,-108.03499104206719,-16.69536601708934,-11.413772696213108,-2.2060626838962447,0.6852653165187613,0.20551002748964228,9.192149061089056,0.02280309031018495,1.710465416928035,0.0,0.0,0.0,0.0003623461069112774,50.572851833649864,-1.3868599118402223,-126.251154426534,0.012695938877170439,349.64446534144435,5.890899039736452
8,2019-01-30 19:00:00,0.0,-11.0,88.3,0.4,0.0,0.0,0.0,888.7,SW_directSW_diffuseLW_in,190.08,,,1.35,0.846,2.329,0,3.58,-0.5367835334845938,-0.26474693662601434,0.002223883470205367,67.15450367957568,0.07323282844010434,3.032640864555666,0.030170941181882446,0.24306984848235563,0.030170941181882446,0.019620774701376104,354.35987182351806,-122.43457283766746,0.0,-107.44427202479287,-13.695998676956862,-9.16834088624814,-1.9695963446343319,0.6752942087166012,0.24306984848235563,9.19222973349539,0.02390278991476478,1.710465416928035,0.0,0.0,0.0,0.0003665339644104641,50.667359135444336,0.7126730383900224,-122.43457283766746,0.013331512046083273,400.2173171750942,5.872323295744279
9,2019-01-30 19:15:00,0.0,-10.9,88.0,0.4,0.0,0.0,0.0,888.6,SW_directSW_diffuseLW_in,187.971,,,1.35,0.845,2.34,0,3.58,-0.5171627587832177,-0.30441882107144713,0.0023232923029716237,70.15697360294946,0.07650705954520116,3.040609617413027,0.03015873678663552,0.2732407896642381,0.03015873678663552,-0.039567528387510154,405.0272309589624,-122.75519388250784,0.0,-109.6389360589211,-13.589255684372729,-9.164550426900533,-0.0551103082446911,0.5281081690306886,0.2732407896642381,9.192311770150463,0.024971480827085987,1.710465416928035,0.0,0.0,0.0,0.0003561955260067002,50.65939038258698,-1.4371864060766475,-122.75519388250784,0.013974436243027792,450.8846763105385,5.881858382618274
10,2019-01-30 19:30:00,0.0,-11.0,90.0,0.5,0.0,0.0,0.0,888.6,SW_directSW_diffuseLW_in,185.862,,,1.35,0.845,2.374,0,3.58,-0.5567302871707278,-0.3341163875818142,0.00242296264677866,73.16742448357586,0.0797899939842703,3.1829750194289645,0.037132332546280775,0.3033995264508736,0.037132332546280775,-0.08803657049492546,455.68662134154937,-128.50155575860535,0.0,-111.57520372879108,-17.085438571782827,-11.283561315059133,-0.3935224779507891,0.5526090199193403,0.3033995264508736,9.192397626050452,0.02604301245944941,1.710465416928035,0.0,0.0,0.0,0.00035713915293099255,50.51702498057104,-3.1976968870477656,-128.50155575860535,0.014599231635991984,501.5440666931255,5.862640412712149
11,2019-01-30 19:45:00,0.0,-11.2,88.9,0.3,0.0,0.0,0.0,888.6,SW_directSW_diffuseLW_in,183.753,,,1.35,0.844,2.308,0,3.58,-0.6447668576656532,-0.36391342472131133,0.0025271125091745755,76.31326717045854,0.08322057488599623,3.0990715956443164,0.022429358309220618,0.3405318589971544,0.022429358309220618,0.09321050019947977,506.2036463221204,-125.11297305071548,0.0,-113.30014921559325,-10.361168049274221,-6.815636031043997,-2.1488366025308636,0.6971808166828598,0.3405318589971544,9.192491195986884,0.027162735080112983,1.710465416928035,0.0,0.0,0.0,0.0003731976184324283,50.600928404355685,3.385626276130578,-125.11297305071548,0.015225687816724285,552.0610916736965,5.8200860976908855
12,2019-01-30 20:00:00,0.0,-11.2,87.7,0.4,0.0,0.0,0.0,888.4,SW_directSW_diffuseLW_in,181.644,,,1.35,0.844,2.277,0,3.58,-0.5515563574661735,-0.3999565700611965,0.002628968202456459,79.38990940779364,0.08657569182965501,3.146826921432808,0.03055378955542142,0.362961217306375,0.03055378955542142,-0.10400909585911498,556.8045747264761,-127.03959144148092,0.0,-115.81578628190778,-13.933749596355778,-9.284320433205158,2.3336183848489895,0.3763260519336268,0.362961217306375,9.192586516032904,0.028257826682499123,1.710465416928035,0.0,0.0,0.0,0.0003649845153100064,50.5531730785672,-3.7778568631602427,-127.03959144148092,0.015880318193686,602.6620200780523,5.8651463488638536
13,2019-01-30 20:15:00,0.0,-11.1,90.2,0.3,0.0,0.0,0.0,888.3,SW_directSW_diffuseLW_in,184.875,,,1.35,0.843,2.36,0,3.58,-0.6555654533252885,-0.41865825700237436,0.0027321326266886623,82.50618253967102,0.08997402676081899,3.0328306405047276,0.02206449177551605,0.3935150068617964,0.02206449177551605,0.05232064927225205,607.3577478050432,-122.43614524180178,0.0,-112.13106657949669,-10.248945248517186,-6.704620858996558,-0.6442236175604421,0.5880902037725416,0.3935150068617964,9.192686902929884,0.02936702439682823,1.710465416928035,0.0,0.0,0.0,0.00036968212648713406,50.667169359495276,1.9004099815069697,-122.43614524180178,0.016520548385742677,653.2151931566194,5.814880161134902
14,2019-01-30 20:30:00,0.0,-11.2,88.0,0.6,0.0,0.0,0.0,888.3,SW_directSW_diffuseLW_in,188.106,,,1.35,0.843,2.285,0,3.58,-0.6032448040530365,-0.44678011425133113,0.0028318009650200914,85.51694868840023,0.09325730500370799,3.159477122687096,0.04540978473954087,0.41557949863731247,0.04540978473954087,-0.22341913768516272,658.0249171645385,-127.54749936428425,0.0,-109.12824043379834,-20.796829800571285,-13.798280938994194,1.989168353248055,0.3884025168373178,0.41557949863731247,9.192787560513098,0.03043866824485577,1.710465416928035,0.0,0.0,0.0,0.00035716197859872234,50.54052287731291,-8.115112584081425,-127.54749936428425,0.017169025521469396,703.8823625161147,5.840115798228122
15,2019-01-30 20:45:00,0.0,-11.5,87.4,0.6,0.0,0.0,0.0,888.2,SW_directSW_diffuseLW_in,191.338,,,1.35,0.842,2.215,0,3.58,-0.8266639417381992,-0.46469941844015217,0.002934885476245334,88.63101602634778,0.09665323448892887,3.2233332382226405,0.04493680537209695,0.46098928337685335,0.04493680537209695,-0.013958096532672264,708.5654400418514,-130.12383138650998,0.0,-104.9228117693074,-20.944766671435207,-13.654400488860727,-5.154781118692227,0.898528172924861,0.46098928337685335,9.192895465589498,0.031547080834941364,1.710465416928035,0.0,0.0,0.0,0.00036941237495880354,50.47666676177736,-0.5069911467554391,-130.12383138650998,0.017795547307541047,754.4228853934276,5.733045117931989
16,2019-01-30 21:00:00,0.0,-11.6,89.6,0.4,0.0,0.0,0.0,888.0,SW_directSW_diffuseLW_in,194.569,,,1.35,0.842,2.253,0,3.58,-0.8406220382708715,-0.5046977956294583,0.003040095653001272,91.80941245919831,0.10011931565888584,2.9457687235419527,0.029578165013231402,0.5059260887489503,0.029578165013231402,0.08848869022900602,759.0421068036287,-118.91725933900616,0.0,-101.63107633401003,-14.072570877140286,-8.987445685877848,-4.047498811643415,0.8338866837875688,0.5059260887489503,9.193009577806755,0.03267839054668852,1.710465416928035,0.0,0.0,0.0,0.0003770391149264209,50.75423127645805,3.2141189473133416,-118.91725933900616,0.018443565431214243,804.8995521552049,5.726412045114212
17,2019-01-30 21:15:00,0.0,-11.5,90.1,0.4,0.0,0.0,0.0,888.0,SW_directSW_diffuseLW_in,196.634,,,1.35,0.841,2.283,0,3.58,-0.7521333480418655,-0.5405339684378873,0.003136622878113389,94.72560301772704,0.10329945803459874,2.816995328580073,0.029681945192961162,0.5355042537621817,0.029681945192961162,-0.03670142048671525,809.7963380800868,-113.71748821834557,0.0,-99.95127254872315,-14.05751482806224,-9.018873532190202,-0.23396779925879052,0.5252669576986206,0.5355042537621817,9.193117811192627,0.03371637141844847,1.710465416928035,0.0,0.0,0.0,0.000345930497384688,50.88300467141993,-1.3330825744440515,-113.71748821834557,0.019104970041065383,855.653783431663,5.768558083460219
18,2019-01-30 21:30:00,0.0,-11.6,90.2,0.5,0.0,0.0,0.0,888.1,SW_directSW_diffuseLW_in,198.7,,,1.35,0.841,2.268,0,3.58,-0.7888347685285807,-0.5624125724580025,0.0032288809755654816,97.51291640111415,0.10633905823458469,2.8720590907311454,0.03707611422356664,0.5651861989551429,0.03707611422356664,-0.08373005323861855,860.6793427515067,-115.93897758531317,0.0,-97.72546364523043,-17.677372068879446,-11.26546475574089,-1.0982044741656534,0.5620626029623632,0.5651861989551429,9.193224423198831,0.034708480101845345,1.710465416928035,0.0,0.0,0.0,0.00033063866496796433,50.82794090926886,-3.0412739738528014,-115.93897758531317,0.019711811232642436,906.5367881030829,5.751045336263687
19,2019-01-30 21:45:00,0.0,-11.3,89.4,0.4,0.0,0.0,0.0,888.0,SW_directSW_diffuseLW_in,200.765,,,1.35,0.84,2.302,0,3.58,-0.8725648217671993,-0.5851548777924841,0.0033227135620545285,100.34789937762173,0.10943064272368781,2.7595357566589267,0.02903296420822305,0.6022623131787095,0.02903296420822305,0.04454388243453178,911.5072836607756,-111.39529520347635,0.0,-95.29611982327401,-13.638411173435948,-8.821470947705315,-3.174220678928446,0.7134564721620353,0.6022623131787095,9.193336028545088,0.03571755616951651,1.710465416928035,0.0,0.0,0.0,0.0003362894613234522,50.940464243341076,1.6179393790235643,-111.39529520347635,0.020291833882371702,957.3647290123517,5.711267161806709
20,2019-01-30 22:00:00,0.0,-11.1,89.8,0.4,0.0,0.0,0.0,887.8,SW_directSW_diffuseLW_in,202.831,,,1.35,0.84,2.35,0,3.58,-0.8280209393326675,-0.6132076903451946,0.003413084775809418,103.07840217007242,0.11240829026180199,2.6542719650492375,0.02880445206367102,0.6312952773869326,0.02880445206367102,-0.026138370106851456,962.4477479041167,-107.1447811796514,0.0,-93.42390669764129,-13.432058700537482,-8.751933860843115,-0.8220607370116539,0.5332449555390133,0.6312952773869326,9.193446543036746,0.03668944384693937,1.710465416928035,0.0,0.0,0.0,0.0003238919505246688,51.04572803495076,-0.9494075502179982,-107.1447811796514,0.020881776279151314,1008.3051932556929,5.732392901473894
21,2019-01-30 22:15:00,0.0,-10.9,88.4,0.4,0.0,0.0,0.0,887.5,SW_directSW_diffuseLW_in,204.417,,,1.35,0.839,2.351,0,3.58,-0.854159309439519,-0.6336195001029856,0.0034999765325024208,105.70386968305799,0.1152713955104231,2.616159567278959,0.02869056800635583,0.6600997294506036,0.02869056800635583,-0.019456313198536048,1013.4934759390675,-105.6050483406323,0.0,-91.72418094392006,-13.131911989928513,-8.71722796128413,-1.2964157770288534,0.5474603702451347,0.6600997294506036,9.193555602808269,0.03762394555497627,1.710465416928035,0.0,0.0,0.0,0.00031142893312298403,51.08384043272105,-0.7066994068331098,-105.6050483406323,0.021449976996806487,1059.3509212906436,5.7199799815211065
