,DX,Max_IceV,Duration,Min_T_s,Min_T_bulk
0,1.0,0.094,0.76,-144.549,-92.371
1,1.25,0.096,0.927,-159.042,-119.722
2,1.5,0.099,1.24,-114.187,-90.258
3,1.75,0.486,17.562,-251.941,-130.409
4,2.0,1.247,35.083,-175.276,-102.952
5,2.25,1.523,37.521,-139.338,-89.887
6,2.5,1.617,39.156,-106.834,-86.045
7,2.75,1.31,39.427,-152.446,-98.2
8,3.0,1.648,40.448,-202.01,-124.449
9,3.25,1.38,44.896,-87.253,-91.331
10,3.5,1.682,45.125,-38.757,-20.776
11,3.75,1.715,45.125,-18.694,-15.28
12,4.0,1.737,45.125,-18.59,-15.247
13,4.25,1.755,45.125,-18.493,-15.198
14,4.5,1.782,45.125,-18.417,-15.165
15,4.75,1.805,45.125,-18.36,-15.134
16,5.0,1.835,45.125,-18.311,-15.102
17,5.25,1.866,45.125,-18.263,-15.072
18,5.5,1.687,45.125,-18.15,-15.096
19,5.75,1.924,45.125,-18.171,-15.011
