,When,T_a,RH,v_a,SW_global,LW_in,p_a,SW_diffuse,SW_direct
0,2020-12-14 00:00:00,-9.68,44.13,0.774,-3.614,171.3,689.477,-0.904,-2.71
1,2020-12-14 00:15:00,-10.14,39.03,0.0,-3.094,171.1,689.424,-0.774,-2.32
2,2020-12-14 00:30:00,-10.47,41.46,0.269,-3.062,170.5,689.371,-0.766,-2.296
3,2020-12-14 00:45:00,-10.62,56.8,0.397,-3.098,170.0,689.318,-0.774,-2.324
4,2020-12-14 01:00:00,-10.6,58.43,0.736,-3.294,169.6,689.265,-0.824,-2.47
5,2020-12-14 01:15:00,-10.79,59.84,0.77,-3.416,169.1,689.286,-0.854,-2.562
6,2020-12-14 01:30:00,-11.09,52.65,0.745,-3.43,168.5,689.307,-0.858,-2.573
7,2020-12-14 01:45:00,-11.28,48.01,0.389,-3.174,168.2,689.328,-0.794,-2.38
8,2020-12-14 02:00:00,-11.41,58.32,0.538,-3.088,167.9,689.35,-0.772,-2.316
9,2020-12-14 02:15:00,-11.54,60.22,0.861,-3.256,167.4,689.39,-0.814,-2.442
10,2020-12-14 02:30:00,-11.74,54.34,0.671,-3.361,167.0,689.431,-0.84,-2.521
11,2020-12-14 02:45:00,-12.05,60.87,0.299,-2.934,166.9,689.471,-0.734,-2.2
12,2020-12-14 03:00:00,-11.98,55.02,0.628,-2.936,166.5,689.512,-0.734,-2.202
13,2020-12-14 03:15:00,-12.19,60.62,0.905,-3.208,166.0,689.471,-0.802,-2.406
14,2020-12-14 03:30:00,-12.39,58.97,0.569,-3.256,165.7,689.431,-0.814,-2.442
15,2020-12-14 03:45:00,-12.63,62.2,0.776,-3.081,165.5,689.39,-0.77,-2.311
16,2020-12-14 04:00:00,-12.83,59.4,0.637,-3.153,165.2,689.35,-0.788,-2.365
17,2020-12-14 04:15:00,-12.98,59.17,0.426,-3.246,164.9,689.37,-0.812,-2.434
18,2020-12-14 04:30:00,-13.35,55.46,0.586,-3.091,164.5,689.39,-0.773,-2.318
19,2020-12-14 04:45:00,-13.53,54.91,0.533,-3.033,164.3,689.41,-0.758,-2.275
20,2020-12-14 05:00:00,-13.67,68.7,0.329,-2.969,163.9,689.431,-0.742,-2.227
21,2020-12-14 05:15:00,-13.76,57.52,0.616,-3.033,163.7,689.513,-0.758,-2.275
22,2020-12-14 05:30:00,-13.83,65.29,0.906,-2.971,163.2,689.596,-0.743,-2.228
23,2020-12-14 05:45:00,-13.87,57.94,0.771,-3.142,162.9,689.679,-0.786,-2.356
24,2020-12-14 06:00:00,-14.29,56.56,0.627,-3.11,162.7,689.762,-0.778,-2.332
25,2020-12-14 06:15:00,-14.55,55.51,0.649,-2.834,162.4,689.89,-0.708,-2.126
26,2020-12-14 06:30:00,-14.65,55.78,0.447,-2.886,162.2,690.019,-0.722,-2.165
27,2020-12-14 06:45:00,-14.76,56.56,0.616,-2.835,162.0,690.147,-0.709,-2.126
28,2020-12-14 07:00:00,-14.67,71.83,0.734,-3.102,161.6,690.276,-0.776,-2.326
29,2020-12-14 07:15:00,-14.93,60.83,0.68,-1.353,161.2,690.398,-0.338,-1.015
30,2020-12-14 07:30:00,-15.18,56.96,0.408,3.323,160.9,690.52,0.831,2.492
31,2020-12-14 07:45:00,-15.22,60.18,0.576,10.76,160.8,690.642,2.69,8.07
32,2020-12-14 08:00:00,-14.88,55.74,0.492,53.24,160.9,690.764,13.31,39.93
33,2020-12-14 08:15:00,-12.86,50.93,0.419,126.0,161.9,690.842,31.5,94.5
34,2020-12-14 08:30:00,-10.73,50.72,0.153,166.7,162.5,690.921,41.675,125.025
35,2020-12-14 08:45:00,-9.74,47.65,0.209,209.3,163.1,690.999,52.325,156.975
36,2020-12-14 09:00:00,-9.3,47.94,0.277,253.0,162.9,691.078,63.25,189.75
37,2020-12-14 09:15:00,-7.674,41.38,0.124,297.3,163.3,691.121,74.325,222.975
38,2020-12-14 09:30:00,-7.562,43.25,0.668,341.0,164.1,691.165,85.25,255.75
39,2020-12-14 09:45:00,-7.171,39.19,0.6,384.6,165.0,691.209,96.15,288.45
40,2020-12-14 10:00:00,-6.655,38.46,0.746,425.1,166.6,691.253,106.275,318.825
41,2020-12-14 10:15:00,-5.604,33.55,0.491,464.7,168.1,691.122,116.175,348.525
42,2020-12-14 10:30:00,-5.068,28.7,0.617,498.9,170.3,690.992,124.725,374.175
43,2020-12-14 10:45:00,-3.719,28.13,0.384,530.7,171.9,690.861,132.675,398.025
44,2020-12-14 11:00:00,-3.141,26.15,0.589,563.7,173.8,690.73,140.925,422.775
45,2020-12-14 11:15:00,-2.968,25.32,0.7,488.4,183.6,690.479,122.1,366.3
46,2020-12-14 11:30:00,-2.568,24.39,0.753,488.0,187.7,690.228,122.0,366.0
47,2020-12-14 11:45:00,-1.658,23.07,0.408,546.9,188.7,689.977,136.725,410.175
48,2020-12-14 12:00:00,-0.717,21.92,0.675,672.7,191.4,689.726,168.175,504.525
49,2020-12-14 12:15:00,-0.406,20.09,0.513,620.8,187.2,689.556,155.2,465.6
50,2020-12-14 12:30:00,0.19,20.64,0.727,619.9,189.0,689.385,154.975,464.925
51,2020-12-14 12:45:00,0.752,19.41,0.677,699.3,190.9,689.215,174.825,524.475
52,2020-12-14 13:00:00,1.3,15.93,0.638,650.0,192.2,689.044,162.5,487.5
53,2020-12-14 13:15:00,1.716,14.09,0.779,609.0,190.7,688.833,152.25,456.75
54,2020-12-14 13:30:00,2.429,13.65,0.877,513.4,189.6,688.622,128.35,385.05
55,2020-12-14 13:45:00,2.67,12.64,0.957,438.0,189.6,688.412,109.5,328.5
56,2020-12-14 14:00:00,2.528,13.3,1.114,371.5,191.0,688.201,92.875,278.625
