,When,sea,T_a,RH,v_a,Discharge,SW_direct,SW_diffuse,Prec,p_a,a,vp_a,LW_in,T_s,T_bulk,f_cone,ice,iceV,solid,gas,vapour,melted,delta_T_s,unfrozen_water,TotalE,SW,LW,Qs,Ql,Qf,Qg,meltwater,SA,h_ice,r_ice,ppt,dpt,cdt,s_cone,input,vp_ice,thickness,$q_{T}$,$q_{melt}$
0,2021-01-20 17:00:00,0.0,1.208,15.75,2.893,0.0,24.69,8.23,0,690.601,0.0,0.0,184.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
1,2021-01-20 17:15:00,0.0,0.643,17.32,2.568,0.0,9.638,3.212,0,690.849,0.85,1.10826,184.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
2,2021-01-20 17:30:00,0.0,0.324,17.3,2.363,0.0,5.272,1.757,0,691.097,0.84983,1.08168,184.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
3,2021-01-20 17:45:00,0.0,0.079,17.94,2.409,0.0,0.723,0.241,0,691.346,0.84965,1.10191,183.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
4,2021-01-20 18:00:00,0.0,-0.106,18.26,2.894,0.0,-2.447,-0.816,0,691.594,0.84948,1.10657,183.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
5,2021-01-20 18:15:00,0.0,-0.182,16.75,3.251,0.0,-3.082,-1.027,0,691.798,0.84931,1.00945,182.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
6,2021-01-20 18:30:00,0.0,-0.34,16.94,3.285,0.0,-3.025,-1.008,0,692.002,0.84913,1.00921,181.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
7,2021-01-20 18:45:00,0.0,-0.607,17.12,2.811,0.0,-3.034,-1.011,0,692.207,0.84896,1.00023,181.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
8,2021-01-20 19:00:00,0.0,-0.745,17.12,2.817,0.0,-2.982,-0.994,0,692.411,0.84879,0.99017,179.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
9,2021-01-20 19:15:00,0.0,-0.958,18.21,2.4,0.0,-3.048,-1.016,0,692.627,0.84861,1.0369,179.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
10,2021-01-20 19:30:00,0.0,-1.229,18.33,2.006,0.0,-3.091,-1.03,0,692.843,0.84844,1.02316,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
11,2021-01-20 19:45:00,0.0,-1.402,19.43,2.009,0.0,-3.235,-1.078,0,693.06,0.84827,1.07084,180.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
12,2021-01-20 20:00:00,0.0,-1.419,19.88,2.214,0.0,-3.099,-1.033,0,693.276,0.84809,1.09427,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
13,2021-01-20 20:15:00,0.0,-1.607,20.58,2.206,0.0,-2.95,-0.983,0,693.522,0.84792,1.11722,180.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
14,2021-01-20 20:30:00,0.0,-1.665,21.03,2.662,0.0,-2.873,-0.958,0,693.767,0.84775,1.13677,181.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,,,0.0,0.0
15,2021-01-20 20:45:00,0.0,-1.838,21.66,1.496,0.0,-3.236,-1.079,0,694.013,0.84758,1.15596,182.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,1.6627020756589939,0,0.0,0.0,0.0030071532797108615,,,,0.0,0.0
16,2021-01-20 21:00:00,0.0,-2.214,22.66,1.14,4.04,-2.955,-0.985,0,694.259,0.35,1.17613,182.3,0.0,0.0,0.0004786011451177793,0.014475297565867786,0.014475297565867786,0.9390949073531183,0.0334522425190987,0.0,0.0,0.0,0.0,-124.66804908757277,-0.641169273149485,-117.57453883563892,-6.45234097878436,-36.564804240118505,0.0,0.0,0.0,8.685217809340063,0.005,1.6627020756589939,0,0.0,0.0,0.0030071532797108615,0.014475297565867786,6.1344941609870025,,0.0,-124.66804908757277
17,2021-01-20 21:15:00,0.0,-2.4,22.34,1.359,4.04,-2.855,-0.952,0,694.462,0.35,1.14362,182.1,0.0,0.0,0.0004786011451177794,0.953570204918986,0.0010398802670872258,0.10506794095748068,0.00693663681543952,0.0334522425190987,0.0,0.0,19.227452850127783,-83.08253002427068,-0.6196881640750523,-117.77453883563894,-8.340508106696962,-43.87492778534912,43.65220508214026,0.0,0.0,1.500898322235613,0.002078525147521934,0.6911936154188271,0,0.0,0.0,0.0030071532797108615,20.214475297565865,6.134498259737914,0.0001179123881564792,0.0,-83.08253002427068
18,2021-01-20 21:30:00,0.0,-2.338,23.1,1.662,4.04667,-2.95,-0.984,0,694.665,0.35,1.18798,182.0,0.0,0.0,0.0004786011451177794,1.0586381458764667,0.001154458174347292,0.17007008890563902,0.00901460628052162,0.04038887933453822,0.0,0.0,39.31544827235486,-123.89938992268605,-0.6405177176957634,-117.87453883563893,-9.939493816066078,-53.18032380841651,4.555160446714724,0.0,0.0,1.6092166455783767,0.002152221201613971,0.7157005318401686,0,0.0,0.0,0.0030071532797108615,40.414475297565865,6.134502358377529,7.63395531613364e-05,0.0,-123.89938992268605
19,2021-01-20 21:45:00,0.0,-2.515,22.12,1.689,4.04,-2.726,-0.909,0,694.868,0.35,1.12273,181.8,0.0,0.0,0.0004786011451177794,1.2287082347821057,0.0013399217391298862,0.1858725999674657,0.010251118693781664,0.04940348561505984,0.0,0.0,59.369713577168696,-122.858911064041,-0.5916980333690341,-118.07453883563892,-10.86884197943779,-54.75721138160135,6.676167784404729,0.0,0.0,1.7772506003169646,0.002261798866148362,0.752139533893608,0,0.0,0.0,0.0030071532797108615,60.64782529756586,6.134506456905941,0.00011525083666776012,0.0,-122.858911064041
20,2021-01-20 22:00:00,0.0,-2.768,22.57,1.635,4.04,-2.781,-0.927,0,695.071,0.35,1.1242,181.7,0.0,0.0,0.0004786011451177794,1.4145808347495714,0.0015426181404030223,0.20604519016386338,0.010897285372041824,0.05965460430884151,0.0,0.0,79.37358985850744,-123.71863891796471,-0.6034151433599723,-118.17453883563894,-11.583140800982692,-52.991032815704564,6.6424558620169085,0.0,0.0,1.952246577737794,0.00237053833194612,0.7882998009912044,0,0.0,0.0,0.0030071532797108615,80.84782529756586,6.134510555323249,0.0001140505459595771,0.0,-123.71863891796471
21,2021-01-20 22:15:00,0.0,-2.865,22.55,1.218,4.04667,-2.901,-0.967,0,695.193,0.35,1.11511,181.7,0.0,0.0,0.00047860114511777933,1.6206260249134348,0.0017673130042676498,0.22342631203962363,0.008904413167514764,0.07055188968088333,0.0,0.0,99.35664738297154,-121.01164480955732,-0.6294524742492913,-118.17453883563894,-8.932862080654017,-39.54752755073516,6.72520858098492,0.0,0.0,2.137492975470947,0.0024804586710843127,0.8248527561996472,0,0.0,0.0,0.0030071532797108615,101.04782529756586,6.1345130183580725,0.00011509553476846007,0.0,-121.01164480955732
22,2021-01-20 22:30:00,0.0,-3.382,22.9,1.188,4.05333,-2.582,-0.861,0,695.315,0.35,1.0895,181.2,0.0,0.0,0.0004786011451177793,1.8440523369530584,0.0020109621995126046,0.24751407636327666,0.009514336646159638,0.0794563028483981,0.0,0.0,119.35766665776441,-122.83101142545502,-0.5604532363018512,-118.67453883563894,-10.286910611948386,-38.77027891923891,6.690891258434158,0.0,0.0,2.329690983541556,0.002589576866075961,0.8611389660606025,0,0.0,0.0,0.0030071532797108615,121.28117529756587,6.134515481352825,0.00011398830220308557,0.0,-122.83101142545502
23,2021-01-20 22:45:00,0.0,-3.827,21.37,1.45,4.06,-2.588,-0.863,0,695.437,0.35,0.98332,180.4,0.0,0.0,0.0004786011451177792,2.091566413316335,0.0022808794038346077,0.2771152458052462,0.012895596094735262,0.08897063949455773,0.0,0.0,139.36728824475497,-127.43112474765886,-0.5617551028463171,-119.47453883563892,-14.210114628190796,-48.31658406310202,6.815283819017191,0.0,0.0,2.533750980811653,0.0027006083873841683,0.8980614342491489,0,0.0,0.0,0.0030071532797108615,141.54782529756585,6.134517944307524,0.00011585965959814954,0.0,-127.43112474765886
24,2021-01-20 23:00:00,0.0,-4.699,20.67,1.456,4.04667,-2.467,-0.822,0,695.558,0.35,0.89054,179.8,0.0,0.0,0.00047860114511777933,2.3686816591215814,0.002583077054658213,0.30986606586810334,0.014322240872372119,0.10186623558929299,0.0,0.0,159.377277402855,-131.10983464524813,-0.5350674608662536,-120.07453883563892,-17.523203062594405,-49.39038541660379,7.022974713851444,0.0,0.0,2.75288005013241,0.0028149668931483057,0.9360902592298073,0,0.0,0.0,0.0030071532797108615,161.84782529756586,6.134520387034533,0.0001192688836086017,0.0,-131.10983464524813
25,2021-01-20 23:15:00,0.0,-4.631,19.39,1.91,4.04333,-2.103,-0.701,0,695.674,0.35,0.83971,179.6,0.0,0.0,0.0004786011451177793,2.6785477249896847,0.002920989885484934,0.3448258327905481,0.020590535377380127,0.11618847646166511,0.0,0.0,179.28643909611452,-136.15412164266434,-0.4563042238353187,-120.27453883563894,-22.65829591287649,-65.41900780101835,7.235017329686388,0.0,0.0,2.988012542834976,0.002932721717992055,0.97524849756712,0,0.0,0.0,0.0030071532797108615,182.08117529756586,6.1345227287854565,0.00012274883927851054,0.0,-136.15412164266434
26,2021-01-20 23:30:00,0.0,-4.923,21.7,1.279,4.05333,-2.612,-0.871,0,695.789,0.35,0.91917,179.3,0.0,0.0,0.0004786011451177794,3.023373557780233,0.0032970267805673206,0.36306648983684287,0.014723115055592255,0.13677901183904523,0.0,0.0,199.1376727279466,-129.8467803257579,-0.566962569024181,-120.57453883563892,-16.132113259872355,-43.14936467195928,7.426834338777563,0.0,0.0,3.2392467418781394,0.0030535262831634423,1.0154208978190296,0,0.0,0.0,0.0030071532797108615,202.29782529756585,6.134525050313185,0.0001258484995265812,0.0,-129.8467803257579
27,2021-01-20 23:45:00,0.0,-4.886,24.45,0.984,4.02667,-2.449,-0.816,0,695.905,0.35,1.03857,179.5,0.0,0.0,0.0004786011451177794,3.386440047617076,0.0036929553409128417,0.3833740169374841,0.011937147377109188,0.1515021268946375,0.0,0.0,219.02653312305418,-125.97543711396241,-0.5311618612328557,-120.37453883563893,-12.320032161984628,-32.43701398529722,7.2502957448940055,0.0,0.0,3.493642144476969,0.003171165121496761,1.054540565954014,0,0.0,0.0,0.0030071532797108615,222.56447529756585,6.134527391992133,0.00012222858951336284,0.0,-125.97543711396241
28,2021-01-21 00:00:00,0.0,-5.054,25.38,0.623,4.02,-2.573,-0.858,0,696.02,0.35,1.06441,179.2,0.0,0.0,0.0004786011451177793,3.76981406455456,0.004111029514236162,0.4037241141637149,0.008076755863322523,0.16343927427174668,0.0,0.0,238.7645719587396,-122.17519138627243,-0.5585004364851522,-120.67453883563894,-8.069717417958136,-20.432722742173127,7.1275653038097895,0.0,0.0,3.75257554414015,0.0032865812190567005,1.0929210829494884,0,0.0,0.0,0.0030071532797108615,242.69782529756586,6.134529713448542,0.00011966714277941858,0.0,-122.17519138627243
