,When,h_ice,h_f,r_ice,ice,T_a,Discharge
0,2021-01-30 17:00:00,0.0,1.35,0.0,0.0,1.882,0.0
1,2021-01-30 17:15:00,0.005,1.35,1.67602885415807,0.0,0.845,0.0
2,2021-01-30 17:30:00,0.004999999999999999,1.35,1.6760288541580697,0.01470827036743091,-0.085,3.58
3,2021-01-30 17:45:00,0.002011231343424841,1.35,0.6741763527934265,0.8778231152574744,-0.602,3.58
4,2021-01-30 18:00:00,0.0020779667965720797,1.35,0.6965464618074436,0.968136822222197,-1.353,3.58
5,2021-01-30 18:15:00,0.0021828609572453685,1.35,0.7317075897916685,1.1222746327965365,-1.937,3.58
6,2021-01-30 18:30:00,0.002286365289049496,1.35,0.7664028391184822,1.289608187161974,-2.167,3.58
7,2021-01-30 18:45:00,0.0023903566573884546,1.35,0.8012613459023771,1.4736998642300396,-1.993,3.58
8,2021-01-30 19:00:00,0.002495903358176933,1.35,0.8366412090989127,1.677661056038089,-2.341,3.58
9,2021-01-30 19:15:00,0.0026025409627176955,1.35,0.8723867495286358,1.9020137341588177,-1.845,3.58
10,2021-01-30 19:30:00,0.002708964156739319,1.35,0.9080604183150165,2.1450168269758505,-1.729,3.58
11,2021-01-30 19:45:00,0.0028156569999268047,1.35,0.9438244750578942,2.4085749900886753,-1.942,3.58
12,2021-01-30 20:00:00,0.002923527321469559,1.35,0.9799832293404872,2.696139739182472,-2.108,3.58
13,2021-01-30 20:15:00,0.00303242644677282,1.35,1.0164868445806554,3.0087891475540673,-2.219,3.58
14,2021-01-30 20:30:00,0.003142520392489698,1.35,1.0533909705185753,3.348538070540487,-2.445,3.58
15,2021-01-30 20:45:00,0.0032544348276935292,1.35,1.0909053350382603,3.719183991873678,-2.654,3.58
16,2021-01-30 21:00:00,0.0033681679871204137,1.35,1.1290293464130639,4.122893898011274,-2.796,3.58
17,2021-01-30 21:15:00,0.003483004985623499,1.35,1.1675233710162796,4.559143012360219,-3.03,3.58
18,2021-01-30 21:30:00,0.003597030844901188,1.35,1.2057454970701944,5.021730629140134,-3.175,3.58
19,2021-01-30 21:45:00,0.0037111008969725216,1.35,1.2439824368035681,5.514792970038384,-3.657,3.58
20,2021-01-30 22:00:00,0.003823373396028904,1.35,1.2816168263929544,6.030607574305147,-5.17,3.58
21,2021-01-30 22:15:00,0.003943896643845396,1.35,1.3220169145804113,6.61907805084721,-6.585,3.58
