,time,ghi,sea,Discharge,temp,RH,wind,SW_global,ppt,press,alb,vp_a,LW_in,SW_direct,SW_diffuse,T_F,e_a
0,2021-07-01 00:00:00,0.0,0.0,30,-1.3,65.0,0.0,0,0.0,548.924,0.85,0.0,0.0,0,0,0.0,
1,2021-07-01 01:00:00,0.0,0.0,30,-1.5,63.0,0.0,0,0.0,548.924,0.845,3.451,205.199,0,0,0.0,0.665
2,2021-07-01 02:00:00,0.0,0.0,30,-2.7,71.0,0.0,0,0.0,548.924,0.839,3.559,202.615,0,0,0.0,0.668
3,2021-07-01 03:00:00,0.0,0.0,30,-3.3,74.0,0.0,0,0.0,548.924,0.834,3.547,200.792,0,0,0.0,0.668
4,2021-07-01 04:00:00,0.0,0.0,30,-4.0,81.0,1.0,0,0.0,548.924,0.829,3.685,199.872,0,0,0.0,0.672
5,2021-07-01 05:00:00,0.0,0.0,30,-3.6,70.0,0.1,0,0.0,548.924,0.824,3.281,197.717,0,0,0.0,0.661
6,2021-07-01 06:00:00,0.0,0.0,30,-4.5,69.0,0.0,0,0.0,548.924,0.819,3.023,192.91,0,0,0.0,0.653
7,2021-07-01 07:00:00,142.687,0.183,30,-5.8,81.0,0.0,0,0.0,548.924,0.814,3.215,191.013,0,0,0.0,0.659
8,2021-07-01 08:00:00,364.74,0.403,30,-5.2,78.0,0.2,0,0.0,548.924,0.809,3.241,192.888,0,0,0.0,0.66
9,2021-07-01 09:00:00,565.908,0.606,30,-2.0,66.0,0.1,0,0.0,548.924,0.804,3.484,204.028,0,0,0.0,0.666
10,2021-07-01 10:00:00,720.603,0.778,30,1.4,45.0,2.0,0,0.0,548.924,0.799,3.043,209.974,0,0,0.0,0.652
11,2021-07-01 11:00:00,813.244,0.894,30,3.7,22.0,3.5,0,0.0,548.924,0.794,1.752,200.399,0,0,0.0,0.602
12,2021-07-01 12:00:00,835.215,0.924,30,5.8,18.0,5.3,0,0.0,548.924,0.79,1.66,204.744,0,0,0.0,0.596
13,2021-07-01 13:00:00,784.52,0.857,30,7.0,13.0,6.2,0,0.0,548.924,0.785,1.303,201.07,0,0,0.0,0.576
14,2021-07-01 14:00:00,665.781,0.715,30,7.8,13.0,7.0,0,0.0,548.924,0.78,1.376,204.889,0,0,0.0,0.58
15,2021-07-01 15:00:00,490.292,0.528,30,8.0,13.0,7.5,0,0.0,548.924,0.775,1.395,205.853,0,0,0.0,0.581
16,2021-07-01 16:00:00,276.859,0.317,30,7.5,12.0,7.5,0,0.0,548.924,0.771,1.244,201.137,0,0,0.0,0.572
17,2021-07-01 17:00:00,59.63,0.092,30,6.7,10.0,5.1,0,0.0,548.924,0.766,0.982,192.307,0,0,0.0,0.553
18,2021-07-01 18:00:00,0.0,0.0,30,5.3,14.0,3.4,0,0.0,548.924,0.762,1.247,195.191,0,0,0.0,0.573
19,2021-07-01 19:00:00,0.0,0.0,30,2.8,22.0,2.5,0,0.0,548.924,0.757,1.644,196.106,0,0,0.0,0.596
20,2021-07-01 20:00:00,0.0,0.0,30,1.9,28.0,2.8,0,0.0,548.924,0.753,1.963,198.61,0,0,0.0,0.612
21,2021-07-01 21:00:00,0.0,0.0,30,-1.0,35.0,2.5,0,0.0,548.924,0.748,1.989,191.014,0,0,0.0,0.614
22,2021-07-01 22:00:00,0.0,0.0,30,-2.6,35.0,1.9,0,0.0,548.924,0.744,1.767,183.598,0,0,0.0,0.604
23,2021-07-01 23:00:00,0.0,0.0,30,-2.3,31.0,0.0,0,0.0,548.924,0.739,1.601,181.792,0,0,0.0,0.596
24,2021-07-02 00:00:00,0.0,0.0,30,-3.3,32.0,0.6,0,0.0,548.924,0.735,1.534,178.129,0,0,0.0,0.592
25,2021-07-02 01:00:00,0.0,0.0,30,-4.1,32.0,0.0,0,0.0,548.924,0.731,1.445,174.6,0,0,0.0,0.588
26,2021-07-02 02:00:00,0.0,0.0,30,-7.9,69.0,1.0,0,0.0,548.924,0.727,2.331,176.964,0,0,0.0,0.63
27,2021-07-02 03:00:00,0.0,0.0,30,-7.5,66.0,2.0,0,0.0,548.924,0.722,2.299,177.653,0,0,0.0,0.629
28,2021-07-02 04:00:00,0.0,0.0,30,-7.6,67.0,2.7,0,0.0,548.924,0.718,2.316,177.58,0,0,0.0,0.63
29,2021-07-02 05:00:00,0.0,0.0,30,-7.1,65.0,0.6,0,0.0,548.924,0.714,2.336,179.086,0,0,0.0,0.63
30,2021-07-02 06:00:00,0.0,0.0,30,-7.7,70.0,0.0,0,0.0,548.924,0.71,2.401,178.239,0,0,0.0,0.633
31,2021-07-02 07:00:00,142.423,0.183,30,-6.6,49.0,0.0,0,0.0,548.924,0.706,1.83,174.205,0,0,0.0,0.609
32,2021-07-02 08:00:00,364.659,0.403,30,-5.3,31.0,1.3,0,0.0,548.924,0.702,1.278,168.641,0,0,0.0,0.578
33,2021-07-02 09:00:00,566.079,0.607,30,-1.4,23.0,3.2,0,0.0,548.924,0.698,1.269,178.128,0,0,0.0,0.576
34,2021-07-02 10:00:00,721.05,0.779,30,2.4,12.0,4.7,0,0.0,548.924,0.694,0.872,178.111,0,0,0.0,0.545
35,2021-07-02 11:00:00,813.965,0.895,30,4.5,8.0,4.4,0,0.0,548.924,0.69,0.674,176.789,0,0,0.0,0.525
36,2021-07-02 12:00:00,836.181,0.926,30,6.3,6.0,6.7,0,0.0,548.924,0.686,0.573,177.091,0,0,0.0,0.512
37,2021-07-02 13:00:00,785.682,0.858,30,7.1,9.0,5.0,0,0.0,548.924,0.682,0.908,191.23,0,0,0.0,0.547
38,2021-07-02 14:00:00,667.069,0.716,30,7.1,9.0,5.8,0,0.0,548.924,0.679,0.908,191.23,0,0,0.0,0.547
39,2021-07-02 15:00:00,491.619,0.53,30,7.0,11.0,5.7,0,0.0,548.924,0.675,1.102,196.328,0,0,0.0,0.562
40,2021-07-02 16:00:00,278.112,0.319,30,6.7,9.0,7.4,0,0.0,548.924,0.671,0.883,189.434,0,0,0.0,0.545
41,2021-07-02 17:00:00,60.574,0.094,30,6.3,9.0,4.8,0,0.0,548.924,0.667,0.859,187.652,0,0,0.0,0.543
42,2021-07-02 18:00:00,0.0,0.0,30,4.9,10.0,2.9,0,0.0,548.924,0.664,0.867,184.267,0,0,0.0,0.544
43,2021-07-02 19:00:00,0.0,0.0,30,2.1,17.0,2.2,0,0.0,548.924,0.66,1.209,185.843,0,0,0.0,0.571
44,2021-07-02 20:00:00,0.0,0.0,30,-1.2,22.0,1.5,0,0.0,548.924,0.656,1.232,177.876,0,0,0.0,0.574
45,2021-07-02 21:00:00,0.0,0.0,30,-3.2,28.0,1.4,0,0.0,548.924,0.653,1.352,175.2,0,0,0.0,0.582
46,2021-07-02 22:00:00,0.0,0.0,30,-3.2,41.0,0.0,0,0.0,548.924,0.649,1.98,185.01,0,0,0.0,0.614
47,2021-07-02 23:00:00,0.0,0.0,30,-3.9,49.0,1.8,0,0.0,548.924,0.646,2.246,186.49,0,0,0.0,0.626
48,2021-07-03 00:00:00,0.0,0.0,30,-4.2,48.0,0.9,0,0.0,548.924,0.642,2.151,184.549,0,0,0.0,0.622
49,2021-07-03 01:00:00,0.0,0.0,30,-6.6,52.0,1.5,0,0.0,548.924,0.639,1.942,175.69,0,0,0.0,0.614
50,2021-07-03 02:00:00,0.0,0.0,30,-7.2,48.0,2.6,0,0.0,548.924,0.635,1.711,171.058,0,0,0.0,0.603
51,2021-07-03 03:00:00,0.0,0.0,30,-8.2,51.0,2.0,0,0.0,548.924,0.632,1.683,168.186,0,0,0.0,0.602
52,2021-07-03 04:00:00,0.0,0.0,30,-9.5,47.0,0.2,0,0.0,548.924,0.629,1.401,160.759,0,0,0.0,0.587
53,2021-07-03 05:00:00,0.0,0.0,30,-7.8,52.0,0.0,0,0.0,548.924,0.625,1.77,170.391,0,0,0.0,0.606
54,2021-07-03 06:00:00,0.0,0.0,30,-7.7,60.0,0.0,0,0.0,548.924,0.622,2.058,174.356,0,0,0.0,0.619
55,2021-07-03 07:00:00,142.215,0.183,30,-7.9,67.0,0.2,0,0.0,548.924,0.619,2.263,176.222,0,0,0.0,0.628
56,2021-07-03 08:00:00,364.651,0.403,30,-7.6,73.0,0.0,0,0.0,548.924,0.615,2.524,179.77,0,0,0.0,0.638
57,2021-07-03 09:00:00,566.334,0.607,30,-2.5,57.0,1.0,0,0.0,548.924,0.612,2.9,197.336,0,0,0.0,0.649
58,2021-07-03 10:00:00,721.588,0.779,30,1.8,11.0,2.8,0,0.0,548.924,0.609,0.766,173.373,0,0,0.0,0.535
59,2021-07-03 11:00:00,814.778,0.897,30,2.8,8.0,3.8,0,0.0,548.924,0.606,0.598,169.719,0,0,0.0,0.516
60,2021-07-03 12:00:00,837.235,0.927,30,4.3,9.0,5.3,0,0.0,548.924,0.603,0.748,178.931,0,0,0.0,0.533
61,2021-07-03 13:00:00,786.923,0.86,30,5.1,14.0,4.6,0,0.0,548.924,0.6,1.23,194.264,0,0,0.0,0.572
62,2021-07-03 14:00:00,668.424,0.718,30,5.7,11.0,2.7,0,0.0,548.924,0.597,1.008,190.382,0,0,0.0,0.555
63,2021-07-03 15:00:00,492.997,0.531,30,6.1,10.0,4.5,0,0.0,548.924,0.593,0.942,189.598,0,0,0.0,0.55
64,2021-07-03 16:00:00,279.4,0.32,30,6.1,9.0,4.4,0,0.0,548.924,0.59,0.848,186.765,0,0,0.0,0.542
65,2021-07-03 17:00:00,61.537,0.095,30,5.7,9.0,4.7,0,0.0,548.924,0.587,0.825,185.002,0,0,0.0,0.54
66,2021-07-03 18:00:00,0.0,0.0,30,4.6,10.0,3.3,0,0.0,548.924,0.584,0.849,182.952,0,0,0.0,0.542
67,2021-07-03 19:00:00,0.0,0.0,30,1.8,17.0,2.0,0,0.0,548.924,0.582,1.183,184.497,0,0,0.0,0.569
68,2021-07-03 20:00:00,0.0,0.0,30,-0.3,19.0,1.5,0,0.0,548.924,0.579,1.136,178.09,0,0,0.0,0.567
69,2021-07-03 21:00:00,0.0,0.0,30,-1.3,23.0,0.0,0,0.0,548.924,0.576,1.279,178.568,0,0,0.0,0.577
70,2021-07-03 22:00:00,0.0,0.0,30,-1.2,22.0,0.0,0,0.0,548.924,0.573,1.232,177.876,0,0,0.0,0.574
71,2021-07-03 23:00:00,0.0,0.0,30,-2.4,28.0,0.0,0,0.0,548.924,0.57,1.435,178.724,0,0,0.0,0.587
