,time,ghi,sea,Discharge,temp,RH,wind,SW_global,ppt,press,alb,vp_a,LW_in,SW_direct,SW_diffuse,T_F,e_a,T_s,T_bulk,f_cone,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,rain2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,rho_air,s_cone,vp_ice,Qr
0,2021-07-01 00:00:00,0.0,0.0,30,-1.3,65.0,0.0,0,0.0,548.924,0.85,0.0,0.0,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.005,,
1,2021-07-01 01:00:00,0.0,0.0,30,-1.5,63.0,0.0,0,0.0,548.924,0.845,3.451,205.199,0,0,0.0,0.665,0.0,0.0,0.0007957647684620392,4801.4007722364,5.235987755982989,0.0,0.0,0.0,0.0,0.0,-100.96886980679892,0,-100.96886980679892,0.0,0.0,0,0.0,0.0,314.1631923252528,0.04999999999999999,9.999999999999998,0.0,0.0,0.0,0.0,0.0,1458.1002129631245,341.89978703687547,0.0,,-100.96886980679892,4801.4007722364,1.0,917.0,0.005,6.112911778902558,-0.0
2,2021-07-01 02:00:00,0.0,0.0,30,-2.7,71.0,0.0,0,0.0,548.924,0.839,3.559,202.615,0,0,0.0,0.668,0.0,0.0,0.0007957647684620392,5143.300559273276,5.608833761475765,0.0,0.0,0.0,0.0,1458.1002129631245,-103.55286980679892,0,-103.55286980679892,0.0,0.0,0,0.0,0.0,328.9055980094875,0.05115969967131242,10.231939934262483,0.0,0.0,0.0,0.0,0.001186790860931821,1432.89572799445,367.10427200555,0.0,,-103.55286980679892,6601.4007722364,1.0,917.0,0.005,6.112911778902558,-0.0
3,2021-07-01 03:00:00,0.0,0.0,30,-3.3,74.0,0.0,0,0.0,548.924,0.834,3.547,200.792,0,0,0.0,0.668,0.0,0.0,0.0008525610880918876,5510.404831278826,6.00916557391366,0.0,0.0,0.0,0.0,2890.9959409575745,-105.37586980679893,0,-105.37586980679893,0.0,0.0,0,0.0,0.0,328.90620583137274,0.05481123511774829,10.231939934262483,0.0,0.0,0.0,0.0,0.001217163267699528,1426.4323380610604,373.5676619389396,0.0,,-105.37586980679893,8401.4007722364,1.0,917.0,0.005,6.112911778902558,-0.0
4,2021-07-01 04:00:00,0.0,0.0,30,-4.0,81.0,1.0,0,0.0,548.924,0.829,3.685,199.872,0,0,0.0,0.672,0.0,0.0,0.0009103570527474593,5883.972493217766,6.416545794130606,8.654173973306063,0.0,0.0,-0.7793901173252309,4317.428279018635,-137.8272847655957,0,-106.29586980679892,-10.715755976568518,-20.815658982228268,0,0.0,0.0,328.9068673548247,0.058527061010375275,10.231939934262483,0.0,0.0,0.0,0.0,0.001238590859625817,1385.1816221263211,414.81837787367874,-20.815658982228268,,-117.01162578336742,10201.4007722364,1.0,917.0,0.00535687616130431,6.112911778902558,-0.0
5,2021-07-01 05:00:00,0.0,0.0,30,-3.6,70.0,0.1,0,0.0,548.924,0.824,3.281,197.717,0,0,0.0,0.661,-0.7793901173252309,0.0,0.0009731957334342533,6290.136697118139,6.85947295214628,0.8736785430174857,8.654173973306063,0.0,0.7007072952211588,5702.609901144957,-107.66736354106685,0,-104.97139202602577,-0.7557610197185544,-2.1014313066972727,0,0.16122081137474611,0.0,328.9076358183661,0.06256712019986134,10.231939934262483,0.0,0.0,0.0,0.0,0.0013466643660493855,1351.963073769905,448.0369262300951,18.714227675531,,-126.38159121659784,12001.4007722364,1.0,917.0,0.005720035632186683,5.73163873903174,-0.0
6,2021-07-01 06:00:00,0.0,0.0,30,-4.5,69.0,0.0,0,0.0,548.924,0.819,3.023,192.91,0,0,0.0,0.653,-0.07868282210407207,-0.01447234960804178,0.0010423769512927742,6737.299944805216,7.347110081576026,0.0,9.527852516323549,0.0,0.07868282210407207,7054.572974914861,-112.89196739342165,0,-112.9052467788591,-0.0,-0.0,0,0.01327938543744799,0.0,328.90854115146016,0.06701499121033012,10.231939934262483,0.0,0.0,0.0,0.0,0.0014825959519499728,1392.3343723634264,407.6656276365736,2.1014313066972674,,-114.99339870011892,13801.4007722364,1.0,917.0,0.006114883453366477,6.073398664144238,-0.0
7,2021-07-01 07:00:00,142.687,0.183,30,-5.8,81.0,0.0,0,0.0,548.924,0.814,3.215,191.013,0,0,0.0,0.659,0.0,-0.015585288491150612,0.09207494074044308,7144.96557244179,7.791674561005223,0.0,9.527852516323549,0.0,-0.0,8446.907347278287,-115.15809236811054,0,-115.15486980679893,-0.0,-0.0,0,-0.0032225613116136265,0.0,328.90942067321953,0.07106998485416864,10.231939934262483,0.0,0.0,0.0,0.0,0.0013516355576320485,1391.7494215333472,408.2505784666528,-0.0,,-115.15809236811054,15601.4007722364,1.0,917.0,0.006549588019562642,6.112911778902558,-0.0
8,2021-07-01 08:00:00,364.74,0.403,30,-5.2,78.0,0.2,0,0.0,548.924,0.809,3.241,192.888,0,0,0.0,0.66,0.0,-0.015330616354797821,0.19715958651545865,7553.216150908443,8.236876936650429,2.0490021111447088,9.527852516323549,0.0,-0.1845300401468609,9838.656768811634,-120.9997024178104,0,-113.27986980679893,-2.7883042213649,-4.928359113477306,0,-0.0031692761692741285,0.0,328.91035322159814,0.07513079692305241,10.231939934262483,0.0,0.0,0.0,0.0,0.0013535713715160697,1388.5106602081412,411.48933979185887,-4.928359113477306,,-116.07134330433308,17401.4007722364,1.0,917.0,0.0069458954324179535,6.112911778902558,-0.0
9,2021-07-01 09:00:00,565.908,0.606,30,-2.0,66.0,0.1,0,0.0,548.924,0.804,3.484,204.028,0,0,0.0,0.666,-0.1845300401468609,-0.015093691956479941,0.2857961954679697,7962.656488589157,8.683376759639211,0.9050703914783336,11.576854627468258,0.0,0.10302101024179261,11227.167429019775,-103.94209222168884,0,-101.31336504400352,-0.48683496019120537,-2.176912604818349,0,0.03502038732423669,0.0,328.91134051563813,0.07920344336237031,10.231939934262483,0.0,0.0,0.0,0.0,0.0013575122175858052,1421.7551693013143,378.24483069868575,2.7514465086589563,,-106.69353873034778,19201.4007722364,1.0,917.0,0.007342771498439981,6.020610961450979,-0.0
