Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:SIBINACOCHA
,Departamento:CUSCO,Provincia:CANCHIS,Distrito:PITUMARCA
,Latitud:13Â°55'19.7'',Longitud:71Â°1'5.63'',Altitud:4880,msnm.
,Tipo:EMA,-Meteorológica,Código:47E8B578
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2021/08/01,00:00,-1.9,0.0,77,312,3.9
2021/08/01,01:00,-3.0,0.0,77,288,2.6
2021/08/01,02:00,-3.2,0.0,74,171,0.6
2021/08/01,03:00,-3.5,0.0,81,166,0.0
2021/08/01,04:00,-4.0,0.0,81,297,1.2
2021/08/01,05:00,-4.3,0.0,77,307,3.8
2021/08/01,06:00,-4.5,0.0,74,309,3.2
2021/08/01,07:00,-4.3,0.0,77,238,0.0
2021/08/01,08:00,-3.5,0.0,81,39,0.0
2021/08/01,09:00,0.0,0.0,66,340,5.8
2021/08/01,10:00,1.9,0.0,60,360,8.1
2021/08/01,11:00,2.7,0.0,60,5,7.5
2021/08/01,12:00,2.9,0.0,59,7,6.6
2021/08/01,13:00,2.7,0.0,60,350,5.4
2021/08/01,14:00,4.0,0.0,54,10,5.5
2021/08/01,15:00,4.4,0.0,51,294,6.8
2021/08/01,16:00,4.5,0.0,47,311,5.2
2021/08/01,17:00,3.9,0.0,46,315,4.8
2021/08/01,18:00,3.5,0.0,47,330,5.5
2021/08/01,19:00,0.5,0.0,64,328,5.6
2021/08/01,20:00,-0.7,0.0,71,290,3.1
2021/08/01,21:00,-0.7,0.0,73,310,5.4
2021/08/01,22:00,-1.6,0.0,81,310,4.1
2021/08/01,23:00,-2.4,0.0,87,311,4.2
2021/08/02,00:00,-3.6,0.0,87,313,3.1
2021/08/02,01:00,-3.7,0.0,89,207,0.3
2021/08/02,02:00,-3.6,0.0,95,248,1.7
2021/08/02,03:00,-5.0,0.0,98,246,4.4
2021/08/02,04:00,-5.8,0.0,100,262,4.7
2021/08/02,05:00,-5.5,0.0,100,96,0.1
2021/08/02,06:00,-6.1,0.0,S/D,60,0.1
2021/08/02,07:00,-6.0,0.0,S/D,347,0.2
2021/08/02,08:00,-4.7,0.0,100,166,0.0
2021/08/02,09:00,-2.0,0.0,95,160,1.1
2021/08/02,10:00,0.6,0.0,73,173,1.3
2021/08/02,11:00,3.4,0.0,52,234,1.8
2021/08/02,12:00,5.5,0.0,40,271,2.4
2021/08/02,13:00,6.6,0.0,30,277,4.2
2021/08/02,14:00,6.9,0.0,35,239,6.7
2021/08/02,15:00,6.7,0.0,32,280,8.3
