Date,Hour,Temperature,Precipitation,RH,Wind_direction,Wind_speed
2022/06/01,00:00,-1.0,0.0,96,323,5.7
2022/06/01,01:00,-2.1,0.0,96,313,3.1
2022/06/01,02:00,-2.2,0.0,94,296,4.3
2022/06/01,03:00,-2.7,0.0,98,299,4.4
2022/06/01,04:00,-2.8,0.0,96,295,4.4
2022/06/01,05:00,-2.2,0.0,93,300,4.1
2022/06/01,06:00,-2.5,0.0,98,309,3.2
2022/06/01,07:00,-2.7,0.0,96,279,2.3
2022/06/01,08:00,-2.7,0.0,98,289,2.2
2022/06/01,09:00,-0.7,0.0,94,163,1.5
2022/06/01,10:00,2.1,0.2,78,265,1.6
2022/06/01,11:00,3.0,0.0,64,282,3.9
2022/06/01,12:00,3.8,0.0,60,273,6.0
2022/06/01,13:00,4.5,0.0,55,281,7.0
2022/06/01,14:00,5.2,0.0,49,294,6.6
2022/06/01,15:00,5.2,0.0,48,322,8.1
2022/06/01,16:00,5.5,0.0,46,289,6.8
2022/06/01,17:00,5.1,0.0,46,277,5.5
2022/06/01,18:00,3.8,0.0,52,270,5.4
2022/06/01,19:00,1.8,0.0,62,271,3.1
2022/06/01,20:00,0.4,0.0,73,311,3.8
2022/06/01,21:00,0.6,0.0,66,315,3.0
2022/06/01,22:00,-0.2,0.0,65,308,3.7
2022/06/01,23:00,-1.1,0.0,68,298,3.5
2022/06/02,00:00,-1.3,0.0,66,308,4.1
2022/06/02,01:00,-1.6,0.0,72,314,3.9
2022/06/02,02:00,-1.2,0.0,74,298,2.5
2022/06/02,03:00,-1.8,0.0,82,311,2.1
2022/06/02,04:00,-2.4,0.0,88,256,0.8
2022/06/02,05:00,-2.1,0.0,82,178,1.2
2022/06/02,06:00,-2.3,0.0,84,25,0.0
2022/06/02,07:00,-2.6,0.0,91,103,0.5
2022/06/02,08:00,-3.0,0.0,91,296,0.0
2022/06/02,09:00,-0.4,0.0,82,123,1.3
2022/06/02,10:00,2.3,0.0,67,110,0.7
2022/06/02,11:00,4.9,0.0,58,241,2.6
2022/06/02,12:00,6.7,0.0,50,10,7.5
2022/06/02,13:00,6.5,0.0,56,13,7.6
2022/06/02,14:00,6.6,0.0,60,11,6.8
2022/06/02,15:00,6.7,0.0,62,9,7.8
2022/06/02,16:00,6.5,0.0,67,14,7.3
2022/06/02,17:00,6.9,0.0,52,340,6.3
2022/06/02,18:00,4.7,0.0,74,9,6.9
2022/06/02,19:00,2.3,0.0,69,319,5.9
2022/06/02,20:00,0.8,0.0,77,334,3.6
2022/06/02,21:00,-0.8,0.0,89,296,3.5
