,time,ghi,sea,temp,RH,wind,ppt,Discharge,alb,vp_a,LW_in,SW_global,press,SW_direct,SW_diffuse,T_F,e_a
0,2019-01-01 00:00:00,0.0,0.0,5.484,87.193,1.193,0.0,1000000,0.85,0.0,0.0,0.0,626.352,0.0,0.0,0.0,
1,2019-01-01 01:00:00,0.0,0.0,4.666,89.386,0.362,0.0,1000000,0.845,7.62,252.768,0.0,626.352,0.0,0.0,0.0,0.748
2,2019-01-01 02:00:00,0.0,0.0,4.601,88.248,0.392,0.058,1000000,0.839,7.489,251.915,0.0,626.352,0.0,0.0,0.0,0.747
3,2019-01-01 03:00:00,0.0,0.0,4.141,90.714,0.282,0.023,1000000,0.834,7.454,250.142,0.0,626.352,0.0,0.0,0.0,0.746
4,2019-01-01 04:00:00,0.0,0.0,3.896,93.68,0.291,0.045,1000000,0.829,7.566,249.823,0.0,626.352,0.0,0.0,0.0,0.748
5,2019-01-01 05:00:00,0.0,0.0,3.944,93.291,0.498,0.03,1000000,0.824,7.56,249.962,0.0,626.352,0.0,0.0,0.0,0.748
6,2019-01-01 06:00:00,0.0,0.0,3.85,93.822,0.263,0.04,1000000,0.819,7.553,249.602,0.0,626.352,0.0,0.0,0.0,0.748
7,2019-01-01 07:00:00,25.194,0.047,3.703,93.275,0.662,0.019,1000000,0.814,7.431,248.515,25.194,626.352,20.155,5.039,0.0,0.746
8,2019-01-01 08:00:00,228.338,0.258,3.647,93.347,0.825,0.021,1000000,0.809,7.408,248.209,228.338,626.352,182.67,45.668,0.0,0.746
9,2019-01-01 09:00:00,465.123,0.477,3.418,94.927,0.634,0.01,1000000,0.804,7.412,247.439,465.123,626.352,372.098,93.025,0.0,0.746
10,2019-01-01 10:00:00,693.851,0.701,3.396,94.877,0.655,0.002,1000000,0.799,7.397,247.29,693.851,626.352,555.08,138.77,0.0,0.746
11,2019-01-01 11:00:00,890.615,0.928,3.748,91.978,0.924,0.003,1000000,0.794,7.351,248.287,890.615,626.352,712.492,178.123,0.0,0.745
12,2019-01-01 12:00:00,1037.534,1.154,4.578,82.665,1.336,0.003,1000000,0.79,7.004,249.437,1037.534,626.352,830.027,207.507,0.0,0.739
13,2019-01-01 13:00:00,1121.974,1.367,6.298,73.8,1.7,0.063,1000000,0.785,7.047,255.671,1121.974,626.352,897.579,224.395,0.0,0.739
14,2019-01-01 14:00:00,1136.846,1.434,7.871,62.958,1.986,0.121,1000000,0.78,6.696,259.371,1136.846,626.352,909.477,227.369,0.0,0.733
15,2019-01-01 15:00:00,1080.907,1.246,9.484,59.78,2.389,0.093,1000000,0.775,7.092,267.345,1080.907,626.352,864.726,216.181,0.0,0.739
16,2019-01-01 16:00:00,958.82,1.023,10.478,63.829,2.659,0.126,1000000,0.771,8.094,276.154,958.82,626.352,767.056,191.764,0.0,0.753
17,2019-01-01 17:00:00,780.94,0.796,11.321,70.02,2.93,0.434,1000000,0.766,9.391,285.329,780.94,626.352,624.752,156.188,0.0,0.768
18,2019-01-01 18:00:00,562.968,0.57,10.897,76.048,2.643,1.374,1000000,0.762,9.917,285.906,562.968,626.352,450.375,112.594,0.0,0.775
19,2019-01-01 19:00:00,326.016,0.348,10.448,81.36,2.181,1.236,1000000,0.757,10.297,285.697,326.016,626.352,260.813,65.203,0.0,0.779
20,2019-01-01 20:00:00,100.416,0.134,9.212,85.595,1.474,1.674,1000000,0.753,9.97,279.636,100.416,626.352,80.333,20.083,0.0,0.776
21,2019-01-01 21:00:00,0.0,0.0,8.51,81.205,1.306,1.398,1000000,0.748,9.02,273.03,0.0,626.352,0.0,0.0,0.0,0.765
22,2019-01-01 22:00:00,0.0,0.0,7.216,79.39,1.014,0.921,1000000,0.744,8.074,264.011,0.0,626.352,0.0,0.0,0.0,0.754
23,2019-01-01 23:00:00,0.0,0.0,6.413,80.132,1.647,0.19,1000000,0.739,7.712,259.4,0.0,626.352,0.0,0.0,0.0,0.749
24,2019-01-02 00:00:00,0.0,0.0,4.969,88.385,1.175,0.657,1000000,0.735,7.696,254.193,0.0,626.352,0.0,0.0,0.0,0.749
25,2019-01-02 01:00:00,0.0,0.0,4.654,89.949,0.932,0.0,1000000,0.731,7.661,252.923,0.0,626.352,0.0,0.0,0.0,0.749
26,2019-01-02 02:00:00,0.0,0.0,4.066,92.849,1.002,0.457,1000000,0.727,7.589,250.524,0.0,626.352,0.0,0.0,0.0,0.748
27,2019-01-02 03:00:00,0.0,0.0,3.681,94.903,0.542,0.259,1000000,0.722,7.549,248.999,0.0,626.352,0.0,0.0,0.0,0.748
28,2019-01-02 04:00:00,0.0,0.0,3.745,94.176,0.332,0.039,1000000,0.718,7.525,249.108,0.0,626.352,0.0,0.0,0.0,0.747
29,2019-01-02 05:00:00,0.0,0.0,3.634,94.474,0.334,0.012,1000000,0.714,7.49,248.557,0.0,626.352,0.0,0.0,0.0,0.747
30,2019-01-02 06:00:00,0.0,0.0,3.562,94.732,0.629,0.002,1000000,0.71,7.473,248.224,0.0,626.352,0.0,0.0,0.0,0.747
31,2019-01-02 07:00:00,23.479,0.045,1.719,98.665,0.482,0.003,1000000,0.706,6.827,238.805,23.479,626.352,18.784,4.696,0.0,0.738
32,2019-01-02 08:00:00,225.821,0.256,0.844,98.494,0.518,0.003,1000000,0.85,6.4,233.718,225.821,626.352,180.657,45.164,0.0,0.731
33,2019-01-02 09:00:00,462.645,0.475,0.863,98.02,0.539,0.003,1000000,0.85,6.378,233.665,462.645,626.352,370.116,92.529,0.0,0.731
34,2019-01-02 10:00:00,691.664,0.699,1.609,97.239,0.71,0.007,1000000,0.848,6.676,237.673,691.664,626.352,553.331,138.333,0.0,0.736
35,2019-01-02 11:00:00,888.874,0.926,1.625,97.964,0.807,0.013,1000000,0.843,6.733,238.018,888.874,626.352,711.099,177.775,0.0,0.736
36,2019-01-02 12:00:00,1036.332,1.152,3.032,98.337,0.829,0.014,1000000,0.838,7.472,246.391,1036.332,626.352,829.066,207.266,0.0,0.747
37,2019-01-02 13:00:00,1121.35,1.365,5.527,80.902,1.654,0.007,1000000,0.833,7.323,254.356,1121.35,626.352,897.08,224.27,0.0,0.744
38,2019-01-02 14:00:00,1136.789,1.434,7.936,66.187,2.466,0.031,1000000,0.828,7.071,261.629,1136.789,626.352,909.431,227.358,0.0,0.739
39,2019-01-02 15:00:00,1081.356,1.247,9.601,57.586,2.355,0.126,1000000,0.823,6.886,266.645,1081.356,626.352,865.085,216.271,0.0,0.736
40,2019-01-02 16:00:00,959.673,1.024,10.792,55.059,2.529,0.131,1000000,0.817,7.13,272.354,959.673,626.352,767.738,191.935,0.0,0.739
41,2019-01-02 17:00:00,782.061,0.797,11.843,53.189,2.305,0.042,1000000,0.812,7.385,277.653,782.061,626.352,625.649,156.412,0.0,0.742
42,2019-01-02 18:00:00,564.196,0.571,12.466,56.492,2.057,0.145,1000000,0.808,8.172,284.083,564.196,626.352,451.356,112.839,0.0,0.753
43,2019-01-02 19:00:00,327.169,0.35,10.603,68.814,1.752,0.971,1000000,0.803,8.799,279.945,327.169,626.352,261.735,65.434,0.0,0.762
44,2019-01-02 20:00:00,101.27,0.134,9.227,74.211,1.893,1.634,1000000,0.798,8.653,274.088,101.27,626.352,81.016,20.254,0.0,0.76
45,2019-01-02 21:00:00,0.0,0.0,8.045,79.943,1.969,1.036,1000000,0.793,8.604,269.471,0.0,626.352,0.0,0.0,0.0,0.76
46,2019-01-02 22:00:00,0.0,0.0,7.079,84.071,1.959,1.04,1000000,0.788,8.47,265.323,0.0,626.352,0.0,0.0,0.0,0.759
47,2019-01-02 23:00:00,0.0,0.0,5.718,86.901,1.372,0.554,1000000,0.783,7.971,258.137,0.0,626.352,0.0,0.0,0.0,0.753
48,2019-01-03 00:00:00,0.0,0.0,5.353,87.937,1.138,0.677,1000000,0.779,7.864,256.341,0.0,626.352,0.0,0.0,0.0,0.751
49,2019-01-03 01:00:00,0.0,0.0,4.715,92.234,0.63,0.0,1000000,0.774,7.89,254.201,0.0,626.352,0.0,0.0,0.0,0.752
50,2019-01-03 02:00:00,0.0,0.0,4.347,94.708,0.287,0.527,1000000,0.769,7.895,252.93,0.0,626.352,0.0,0.0,0.0,0.752
51,2019-01-03 03:00:00,0.0,0.0,4.128,96.176,0.376,0.153,1000000,0.765,7.895,252.161,0.0,626.352,0.0,0.0,0.0,0.752
52,2019-01-03 04:00:00,0.0,0.0,3.996,96.108,0.804,0.045,1000000,0.76,7.817,251.34,0.0,626.352,0.0,0.0,0.0,0.751
53,2019-01-03 05:00:00,0.0,0.0,3.781,97.012,0.497,0.037,1000000,0.756,7.772,250.382,0.0,626.352,0.0,0.0,0.0,0.751
54,2019-01-03 06:00:00,0.0,0.0,3.308,98.228,0.677,0.017,1000000,0.751,7.611,247.994,0.0,626.352,0.0,0.0,0.0,0.749
55,2019-01-03 07:00:00,21.76,0.042,3.106,97.348,1.178,0.054,1000000,0.747,7.436,246.474,21.76,626.352,17.408,4.352,0.0,0.746
56,2019-01-03 08:00:00,223.261,0.253,2.927,97.411,1.115,0.018,1000000,0.743,7.347,245.436,223.261,626.352,178.609,44.652,0.0,0.745
57,2019-01-03 09:00:00,460.125,0.472,2.886,96.711,1.162,0.004,1000000,0.738,7.273,244.941,460.125,626.352,368.1,92.025,0.0,0.744
58,2019-01-03 10:00:00,689.44,0.697,2.286,98.41,0.982,0.0,1000000,0.734,7.091,242.019,689.44,626.352,551.552,137.888,0.0,0.742
59,2019-01-03 11:00:00,887.099,0.923,2.811,95.955,1.163,0.0,1000000,0.73,7.177,244.225,887.099,626.352,709.679,177.42,0.0,0.743
60,2019-01-03 12:00:00,1035.096,1.149,4.604,88.863,0.915,0.001,1000000,0.725,7.542,252.183,1035.096,626.352,828.077,207.019,0.0,0.747
61,2019-01-03 13:00:00,1120.69,1.362,6.707,73.019,0.599,0.001,1000000,0.721,7.171,257.763,1120.69,626.352,896.552,224.138,0.0,0.741
62,2019-01-03 14:00:00,1136.689,1.433,8.702,69.575,0.649,0.075,1000000,0.717,7.83,268.268,1136.689,626.352,909.351,227.338,0.0,0.75
63,2019-01-03 15:00:00,1081.755,1.248,10.294,70.892,0.857,0.326,1000000,0.713,8.88,279.134,1081.755,626.352,865.404,216.351,0.0,0.763
64,2019-01-03 16:00:00,960.467,1.025,11.136,73.339,1.513,0.603,1000000,0.709,9.716,286.001,960.467,626.352,768.373,192.093,0.0,0.772
65,2019-01-03 17:00:00,783.112,0.798,10.473,80.302,1.164,1.811,1000000,0.705,10.18,285.329,783.112,626.352,626.49,156.622,0.0,0.778
66,2019-01-03 18:00:00,565.343,0.572,9.761,84.629,0.634,2.517,1000000,0.701,10.229,282.77,565.343,626.352,452.275,113.069,0.0,0.778
67,2019-01-03 19:00:00,328.235,0.351,9.728,84.703,0.914,1.452,1000000,0.697,10.215,282.589,328.235,626.352,262.588,65.647,0.0,0.778
68,2019-01-03 20:00:00,102.044,0.135,7.567,87.642,2.079,1.903,1000000,0.693,9.13,269.987,102.044,626.352,81.636,20.409,0.0,0.767
69,2019-01-03 21:00:00,0.0,0.0,7.895,88.228,1.786,0.494,1000000,0.689,9.399,272.334,0.0,626.352,0.0,0.0,0.0,0.77
70,2019-01-03 22:00:00,0.0,0.0,7.587,82.582,1.957,0.202,1000000,0.685,8.615,267.829,0.0,626.352,0.0,0.0,0.0,0.76
71,2019-01-03 23:00:00,0.0,0.0,6.599,80.082,1.442,0.205,1000000,0.681,7.807,260.52,0.0,626.352,0.0,0.0,0.0,0.75
72,2019-01-04 00:00:00,0.0,0.0,6.01,81.624,1.191,0.073,1000000,0.677,7.64,257.615,0.0,626.352,0.0,0.0,0.0,0.748
73,2019-01-04 01:00:00,0.0,0.0,5.746,83.287,1.075,0.0,1000000,0.674,7.654,256.746,0.0,626.352,0.0,0.0,0.0,0.748
74,2019-01-04 02:00:00,0.0,0.0,5.367,84.357,1.148,0.031,1000000,0.67,7.551,254.909,0.0,626.352,0.0,0.0,0.0,0.747
75,2019-01-04 03:00:00,0.0,0.0,4.94,85.467,1.072,0.036,1000000,0.666,7.427,252.802,0.0,626.352,0.0,0.0,0.0,0.746
76,2019-01-04 04:00:00,0.0,0.0,4.386,88.284,0.82,0.059,1000000,0.663,7.38,250.638,0.0,626.352,0.0,0.0,0.0,0.745
77,2019-01-04 05:00:00,0.0,0.0,4.054,87.839,0.766,0.115,1000000,0.659,7.173,248.475,0.0,626.352,0.0,0.0,0.0,0.742
78,2019-01-04 06:00:00,0.0,0.0,3.683,89.276,0.56,0.118,1000000,0.655,7.103,246.846,0.0,626.352,0.0,0.0,0.0,0.741
79,2019-01-04 07:00:00,20.042,0.04,3.855,88.047,0.778,0.181,1000000,0.652,7.09,247.376,20.042,626.352,16.033,4.008,0.0,0.741
80,2019-01-04 08:00:00,220.659,0.251,3.372,90.695,0.528,0.243,1000000,0.648,7.059,245.561,220.659,626.352,176.527,44.132,0.0,0.741
81,2019-01-04 09:00:00,457.565,0.47,2.984,93.793,0.498,0.078,1000000,0.645,7.102,244.448,457.565,626.352,366.052,91.513,0.0,0.742
82,2019-01-04 10:00:00,687.18,0.694,2.674,96.176,0.383,0.265,1000000,0.641,7.124,243.498,687.18,626.352,549.744,137.436,0.0,0.742
83,2019-01-04 11:00:00,885.29,0.921,2.796,95.043,0.366,0.375,1000000,0.638,7.102,243.803,885.29,626.352,708.232,177.058,0.0,0.742
84,2019-01-04 12:00:00,1033.826,1.147,3.629,88.711,0.504,0.279,1000000,0.634,7.031,246.302,1033.826,626.352,827.061,206.765,0.0,0.74
85,2019-01-04 13:00:00,1119.993,1.36,4.522,82.155,0.598,0.28,1000000,0.631,6.933,248.883,1119.993,626.352,895.994,223.999,0.0,0.738
86,2019-01-04 14:00:00,1136.546,1.433,5.663,77.003,0.704,0.406,1000000,0.628,7.036,253.385,1136.546,626.352,909.237,227.309,0.0,0.74
87,2019-01-04 15:00:00,1082.103,1.249,6.655,72.186,1.312,0.504,1000000,0.624,7.064,257.025,1082.103,626.352,865.682,216.421,0.0,0.74
88,2019-01-04 16:00:00,961.199,1.026,7.93,72.915,1.416,0.338,1000000,0.621,7.786,265.235,961.199,626.352,768.959,192.24,0.0,0.749
89,2019-01-04 17:00:00,784.091,0.799,9.605,74.654,1.321,0.446,1000000,0.618,8.929,276.744,784.091,626.352,627.273,156.818,0.0,0.764
90,2019-01-04 18:00:00,566.409,0.573,9.699,77.665,1.484,0.617,1000000,0.614,9.348,278.921,566.409,626.352,453.127,113.282,0.0,0.769
91,2019-01-04 19:00:00,329.215,0.351,10.213,72.83,1.403,0.917,1000000,0.611,9.073,279.687,329.215,626.352,263.372,65.843,0.0,0.765
92,2019-01-04 20:00:00,102.737,0.136,8.145,79.09,1.846,2.045,1000000,0.608,8.57,269.689,102.737,626.352,82.19,20.547,0.0,0.76
93,2019-01-04 21:00:00,0.0,0.0,7.354,72.667,2.339,0.912,1000000,0.605,7.461,261.543,0.0,626.352,0.0,0.0,0.0,0.745
94,2019-01-04 22:00:00,0.0,0.0,6.636,71.639,2.38,0.523,1000000,0.602,7.001,256.631,0.0,626.352,0.0,0.0,0.0,0.739
95,2019-01-04 23:00:00,0.0,0.0,6.017,68.19,1.993,0.077,1000000,0.599,6.386,251.123,0.0,626.352,0.0,0.0,0.0,0.729
96,2019-01-05 00:00:00,0.0,0.0,5.499,71.37,1.497,0.032,1000000,0.596,6.448,249.675,0.0,626.352,0.0,0.0,0.0,0.73
97,2019-01-05 01:00:00,0.0,0.0,4.907,74.905,1.253,0.0,1000000,0.593,6.494,247.887,0.0,626.352,0.0,0.0,0.0,0.731
