Fuente:SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:* S/D = Sin Datos.

,Estación:TARATA
,Departamento:TACNA,Provincia:TARATA,Distrito:TARATA
,Latitud:17°28'45.74'',Longitud:70°2'11.94'',Altitud:3100,msnm.
,Tipo:EMA,-Meteorológica,Código:47E2D1CC
AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2022/12/01,00:00,5.1,0.0,37,96,0.7
2022/12/01,01:00,4.7,0.0,38,103,1.2
2022/12/01,02:00,4.2,0.0,39,109,1.0
2022/12/01,03:00,4.0,0.0,42,82,1.0
2022/12/01,04:00,3.4,0.0,45,116,0.8
2022/12/01,05:00,3.7,0.0,42,103,1.0
2022/12/01,06:00,4.2,0.0,43,105,1.7
2022/12/01,07:00,7.7,0.0,39,119,0.9
2022/12/01,08:00,12.2,0.0,27,293,1.3
2022/12/01,09:00,13.3,0.0,23,293,2.2
2022/12/01,10:00,14.3,0.0,20,267,2.7
2022/12/01,11:00,15.4,0.0,20,266,2.5
2022/12/01,12:00,15.7,0.0,26,274,2.3
2022/12/01,13:00,15.7,0.0,31,282,2.9
2022/12/01,14:00,15.5,0.0,33,271,2.8
2022/12/01,15:00,15.2,0.0,34,268,2.9
2022/12/01,16:00,13.9,0.0,33,274,2.5
2022/12/01,17:00,13.0,0.0,35,266,2.9
2022/12/01,18:00,11.3,0.0,39,264,2.4
2022/12/01,19:00,9.2,0.0,42,201,1.6
2022/12/01,20:00,8.1,0.0,42,211,1.0
2022/12/01,21:00,6.8,0.0,44,101,0.8
2022/12/01,22:00,5.7,0.0,47,141,0.5
2022/12/01,23:00,4.9,0.0,50,1,S/D
2022/12/02,00:00,4.1,0.0,54,131,1.0
2022/12/02,01:00,3.4,0.0,55,118,1.0
2022/12/02,02:00,2.3,0.0,58,62,0.9
2022/12/02,03:00,2.2,0.0,60,106,0.7
2022/12/02,04:00,2.8,0.0,60,81,1.1
2022/12/02,05:00,3.4,0.0,58,154,1.2
2022/12/02,06:00,2.9,0.0,57,88,0.8
2022/12/02,07:00,6.2,0.0,48,118,1.3
2022/12/02,08:00,10.6,0.0,33,180,1.1
2022/12/02,09:00,12.3,0.0,28,300,1.6
2022/12/02,10:00,13.8,0.0,24,284,2.0
2022/12/02,11:00,15.5,0.0,20,269,2.5
2022/12/02,12:00,16.0,0.0,21,268,2.5
2022/12/02,13:00,16.0,0.0,22,283,2.8
2022/12/02,14:00,15.8,0.0,25,263,2.5
2022/12/02,15:00,15.8,0.0,27,276,2.7
2022/12/02,16:00,14.2,0.0,31,259,4.0
2022/12/02,17:00,12.5,0.0,34,263,2.8
2022/12/02,18:00,10.5,0.0,38,254,2.5
2022/12/02,19:00,8.6,0.0,42,191,0.9
2022/12/02,20:00,7.4,0.0,43,229,0.9
2022/12/02,21:00,6.3,0.0,47,1,S/D
2022/12/02,22:00,5.4,0.0,50,202,0.7
2022/12/02,23:00,4.3,0.0,53,87,0.5
2022/12/03,00:00,3.2,0.0,57,97,0.6
2022/12/03,01:00,3.0,0.0,58,110,0.8
2022/12/03,02:00,3.4,0.0,57,104,0.9
2022/12/03,03:00,2.7,0.0,57,108,0.9
2022/12/03,04:00,2.4,0.0,56,111,1.0
2022/12/03,05:00,1.6,0.0,58,85,0.7
2022/12/03,06:00,1.7,0.0,59,104,1.7
2022/12/03,07:00,5.5,0.0,48,115,1.2
2022/12/03,08:00,10.2,0.0,35,17,0.8
2022/12/03,09:00,12.3,0.0,30,271,0.2
2022/12/03,10:00,14.5,0.0,22,293,1.6
2022/12/03,11:00,15.8,0.0,21,296,2.6
2022/12/03,12:00,16.5,0.0,19,277,3.1
2022/12/03,13:00,16.9,0.0,19,267,2.4
2022/12/03,14:00,16.7,0.0,22,275,2.9
2022/12/03,15:00,16.3,0.0,26,278,2.9
2022/12/03,16:00,15.2,S/D,28,264,2.7
2022/12/03,17:00,13.9,0.0,32,266,2.9
2022/12/03,18:00,11.7,0.0,37,254,2.1
2022/12/03,19:00,9.8,0.0,43,297,1.5
2022/12/03,20:00,8.3,0.0,46,83,0.7
2022/12/03,21:00,7.5,0.0,49,114,0.5
2022/12/03,22:00,6.6,0.0,51,112,1.3
2022/12/03,23:00,5.5,0.0,53,81,0.6
2022/12/04,00:00,5.6,0.0,54,95,1.2
2022/12/04,01:00,5.2,0.0,55,155,0.9
2022/12/04,02:00,5.1,0.0,50,121,1.0
2022/12/04,03:00,4.9,0.0,43,125,1.1
2022/12/04,04:00,3.7,0.0,42,75,0.8
2022/12/04,05:00,2.8,0.0,41,112,0.9
2022/12/04,06:00,3.1,0.0,38,99,0.6
2022/12/04,07:00,7.6,0.0,27,112,0.9
2022/12/04,08:00,13.3,0.0,18,349,0.8
2022/12/04,09:00,15.0,0.0,14,280,2.1
2022/12/04,10:00,16.7,0.0,12,297,1.7
2022/12/04,11:00,17.6,0.0,12,264,2.6
2022/12/04,12:00,18.2,0.0,15,268,2.9
2022/12/04,13:00,18.4,0.0,17,270,3.4
2022/12/04,14:00,18.1,0.0,20,275,3.7
2022/12/04,15:00,17.2,0.0,21,284,3.0
2022/12/04,16:00,16.1,0.0,25,267,2.9
2022/12/04,17:00,14.8,0.0,30,262,3.1
2022/12/04,18:00,12.5,0.0,32,244,1.1
2022/12/04,19:00,10.5,0.0,34,176,1.5
2022/12/04,20:00,9.4,0.0,32,189,0.9
2022/12/04,21:00,8.0,0.0,35,151,0.6
2022/12/04,22:00,7.4,0.0,37,1,S/D
2022/12/04,23:00,6.4,0.0,37,96,1.1
2022/12/05,00:00,5.3,0.0,38,48,0.6
2022/12/05,01:00,4.9,0.0,39,19,0.6
2022/12/05,02:00,4.5,0.0,42,92,0.7
2022/12/05,03:00,4.1,0.0,42,107,0.5
2022/12/05,04:00,4.8,0.0,42,115,0.8
2022/12/05,05:00,4.2,0.0,44,118,1.0
2022/12/05,06:00,4.3,0.0,46,88,0.8
2022/12/05,07:00,8.5,0.0,39,124,0.8
2022/12/05,08:00,13.0,0.0,26,307,1.5
2022/12/05,09:00,14.1,0.0,25,307,1.7
2022/12/05,10:00,15.8,0.0,22,299,1.8
2022/12/05,11:00,17.3,0.0,20,270,3.3
2022/12/05,12:00,18.2,0.0,20,269,3.1
2022/12/05,13:00,18.3,0.0,22,272,3.3
2022/12/05,14:00,18.5,0.0,25,265,2.9
2022/12/05,15:00,16.3,0.0,29,264,2.7
2022/12/05,16:00,14.7,0.0,34,229,1.7
2022/12/05,17:00,12.9,0.0,39,191,1.0
2022/12/05,18:00,11.9,0.0,42,241,2.2
2022/12/05,19:00,10.8,0.0,37,177,1.8
2022/12/05,20:00,10.2,0.0,39,308,0.6
2022/12/05,21:00,9.9,0.0,40,341,1.3
2022/12/05,22:00,10.1,0.0,40,359,1.6
2022/12/05,23:00,12.7,0.0,51,116,2.5
2022/12/06,00:00,11.6,0.0,46,312,0.9
2022/12/06,01:00,10.7,0.0,43,309,0.9
2022/12/06,02:00,10.0,0.0,43,30,0.7
2022/12/06,03:00,9.8,0.2,71,13,3.0
2022/12/06,04:00,9.3,0.0,63,353,0.8
2022/12/06,05:00,8.0,0.0,70,101,0.6
2022/12/06,06:00,7.8,0.0,77,64,0.8
2022/12/06,07:00,10.5,0.0,70,1,S/D
2022/12/06,08:00,13.8,0.0,52,311,0.7
2022/12/06,09:00,16.0,0.0,45,253,0.5
2022/12/06,10:00,16.5,0.0,39,281,2.7
2022/12/06,11:00,18.7,0.0,34,290,2.2
2022/12/06,12:00,18.5,0.0,30,273,2.4
2022/12/06,13:00,17.3,0.0,30,277,2.6
2022/12/06,14:00,18.3,0.0,31,280,2.3
2022/12/06,15:00,17.5,0.0,34,247,2.5
2022/12/06,16:00,15.1,0.0,42,187,2.6
2022/12/06,17:00,13.7,0.0,49,301,1.5
2022/12/06,18:00,12.7,0.0,53,285,0.1
2022/12/06,19:00,11.7,0.0,57,350,0.5
2022/12/06,20:00,11.0,0.0,60,8,1.1
2022/12/06,21:00,11.2,0.0,61,177,0.8
2022/12/06,22:00,10.6,0.0,62,335,0.8
2022/12/06,23:00,9.9,0.0,62,312,0.8
2022/12/07,00:00,9.9,0.0,58,175,0.6
2022/12/07,01:00,9.5,0.0,61,302,0.7
2022/12/07,02:00,9.4,0.0,61,164,0.8
2022/12/07,03:00,9.6,0.0,60,357,0.5
2022/12/07,04:00,9.2,0.0,62,73,0.6
2022/12/07,05:00,9.2,0.0,64,77,1.0
2022/12/07,06:00,9.2,0.0,67,1,S/D
2022/12/07,07:00,11.1,0.0,60,292,0.9
2022/12/07,08:00,12.6,0.0,53,311,1.0
2022/12/07,09:00,14.5,0.0,47,289,1.6
2022/12/07,10:00,16.2,0.0,40,250,0.9
2022/12/07,11:00,18.5,0.0,36,290,2.6
2022/12/07,12:00,18.3,0.0,34,263,3.0
2022/12/07,13:00,18.9,0.0,33,265,2.7
2022/12/07,14:00,18.0,0.0,34,258,4.0
2022/12/07,15:00,15.0,0.0,39,242,2.0
2022/12/07,16:00,14.6,0.0,45,278,1.3
2022/12/07,17:00,14.2,0.0,49,197,1.2
2022/12/07,18:00,12.6,0.6,59,289,0.5
2022/12/07,19:00,10.4,2.1,83,130,0.8
2022/12/07,20:00,9.7,1.9,90,187,1.2
2022/12/07,21:00,9.3,0.3,96,1,S/D
2022/12/07,22:00,9.3,0.0,98,335,0.9
2022/12/07,23:00,9.7,0.0,98,1,S/D
2022/12/08,00:00,9.5,0.0,98,1,S/D
2022/12/08,01:00,10.0,0.0,96,1,S/D
2022/12/08,02:00,9.8,0.0,97,345,0.7
2022/12/08,03:00,9.1,0.0,100,135,0.8
2022/12/08,04:00,8.9,0.0,100,145,0.6
2022/12/08,05:00,8.4,0.0,100,148,0.6
2022/12/08,06:00,8.5,0.1,100,1,S/D
2022/12/08,07:00,11.6,0.0,90,350,0.8
2022/12/08,08:00,14.4,0.0,73,287,1.6
2022/12/08,09:00,16.0,0.0,65,306,1.3
2022/12/08,10:00,18.1,0.0,51,286,2.5
2022/12/08,11:00,19.7,0.0,46,286,2.5
2022/12/08,12:00,19.0,0.0,46,280,2.0
2022/12/08,13:00,19.0,0.0,45,268,2.9
